transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	fisher_pval	wilcox_pval	fisher_pval2	zscore	fisher_adjusted	wilcox_adjusted	fisher2_adjusted
AEBP2_02	0	0	0	0	230	1	1	1	0	1	1	1
AFP1_Q6	10	14	10	14	230	0.852788073100509	0.799171745760529	0.846277648341794	-3.42382216531191	1	1	1
AHRARNT_01	170	134	393	265	230	0.000272964269155446	0.00017015971413415	3.36263355291783e-07	30.1133798254228	0.0754746204214807	0.0156830536526975	1.23969090317571e-05
AHRARNT_02	167	143	399	304	230	0.0110010019534322	0.00652048259189479	0.000190697983677083	19.9536782283866	0.333336976904567	0.156775081448601	0.00421823939893708
AHR_01	187	184	506	472	230	0.406746730107692	0.159713737991881	0.14542583080187	7.28749704759201	1	0.69544643393315	0.880609520362344
AIOLOS_01	1	1	1	1	230	0.750544662309368	0.501227835398965	0.750000494072123	0	1	1	1
ALX4_01	0	0	0	0	230	1	1	1	0	1	1	1
AMYB_01	0	0	0	0	230	1	1	1	0	1	1	1
AP1FJ_Q2	207	203	626	601	230	0.326754096748447	0.366330122333825	0.246368273089075	2.54918878449015	1	1	1
AP2ALPHA_03	217	209	3812	3644	230	0.105860649837823	0.0854508715677684	0.0256776357534585	8.56444274066526	0.944208699359938	0.519278373373362	0.244822975373492
AP2_Q6	204	195	1994	1800	230	0.135662063217726	0.0347103111707896	0.000828259028898849	13.4098023361978	1	0.340218549075576	0.0138796134236686
AP4_01	0	0	0	0	230	1	1	1	0	1	1	1
APA1_02	0	0	0	0	230	1	1	1	0	1	1	1
AREB6_01	197	200	530	509	230	0.706115950380162	0.437958498837205	0.267273653521609	3.14477597613827	1	1	1
ARNTLBHLHA15_01	0	1	0	1	230	1	0.842394505646199	1	0	1	1	1
ARNTL_01	0	0	0	0	230	1	1	1	0	1	1	1
AR_02	171	153	334	302	230	0.0410979156913741	0.048567081936897	0.109332559989625	10.5419958253233	0.551614169447366	0.408787566830099	0.737328117978812
AR_12	0	0	0	0	230	1	1	1	0	1	1	1
ATF3_05	4	0	4	0	230	0.0616839004018821	0.0225143045202153	0.0624992588925483	0	0.625596502000215	0.276675786659535	0.488910492495868
ATF4TEF_01	8	5	8	5	230	0.28774353525997	0.199915572643755	0.290524859842785	4.58357383201815	1	0.825024713970123	1
BACH1_01	44	47	57	57	230	0.680088693918885	0.606165125682213	0.537286719886766	-2.14334307522271	1	1	1
BATF3_01	0	0	0	0	230	1	1	1	0	1	1	1
BATFJUN_01	7	5	9	5	230	0.385708057447676	0.275654354261648	0.211971837531252	3.88947165066012	1	0.951758816980894	1
BATF_04	1	0	1	0	230	0.5	0.159709587610477	0.5	0	1	0.69544643393315	1
BCL11A_03	14	9	16	10	230	0.196333838378443	0.142057602402489	0.16346353425401	4.36318806892005	1	0.69544643393315	0.922401371861916
BCL6_02	204	197	684	660	230	0.201484521304409	0.283126020931591	0.264940461714674	4.37130261380253	1	0.951758816980894	1
BEN_02	228	228	1966	1638	230	0.688319675061855	1.86350964222631e-05	2.24907715587702e-08	22.0163826324479	1	0.00343506944050383	1.10738806532264e-06
BMAL1_Q6	65	73	79	98	230	0.820074569553258	0.839853595112049	0.933766758265321	-5.78479756544577	1	1	1
BRACH_01	0	0	0	0	230	1	1	1	0	1	1	1
BRN3B_01	0	1	0	1	230	1	0.842394505646199	1	0	1	1	1
BTEB3_Q5	222	216	2731	2407	230	0.137209727729569	0.00144700803579062	2.94070207328028e-06	29.4352703203006	1	0.0615534956763241	9.56593086190584e-05
CACCCBINDINGFACTOR_Q6	206	184	881	766	230	0.00305792242785998	0.000559694277802193	0.00244187216876158	20.4513295292321	0.187892344734063	0.0281373577840557	0.0346244951109013
CARF_01	2	0	2	0	230	0.249455337690632	0.0788750806304654	0.249999505927877	0	1	0.5071851114959	1
CDC5_01	26	34	29	41	230	0.893744341554374	0.872814097823179	0.940208111483527	-6.24474977919157	1	1	1
CDPCR3_01	182	171	383	399	230	0.134867415966107	0.561443376693459	0.72852172990334	-3.24270869476763	1	1	1
CDP_01	202	208	763	963	230	0.852835362398729	0.999290126159043	0.999999387756695	-21.1846746900124	1	1	1
CDP_Q6_01	174	187	475	625	230	0.944035815091486	0.998931998093211	0.999997498031949	-20.7582681870128	1	1	1
CEBPGELF1_01	30	21	34	21	230	0.1172972499146	0.0846393536993618	0.0523853221790735	11.3075989552179	0.997928910811903	0.519278373373362	0.432374375597428
CEBPG_Q6	191	204	880	1215	230	0.969838651836053	0.999836934050302	0.999999999999916	-32.4767171821938	1	1	1
CIZ_03	0	0	0	0	230	1	1	1	0	1	1	1
CLOCKFIGLA_01	27	29	35	37	230	0.665440570014187	0.608872322121424	0.638035387747937	-1.6619331647178	1	1	1
CLOCKNHLH1_01	10	9	11	9	230	0.5	0.404319951092564	0.41189973287154	1.49171286866562	1	1	1
CMYB_01	0	0	0	0	230	1	1	1	0	1	1	1
CMYC_02	141	132	350	284	230	0.223829357662278	0.0841564619130886	0.00486857429039773	10.053580291351	1	0.519278373373362	0.0626121298276731
COE2_02	0	0	0	0	230	1	1	1	0	1	1	1
CP2_01	229	224	1433	1496	230	0.0610702958173675	0.82254438913187	0.882189485122504	-4.17269242424321	0.625596502000215	1	1
CPEB1_01	131	168	338	520	230	0.999903057054345	0.999997174501243	0.9999999998266	-21.2820568593438	1	1	1
CREB3L1_02	0	0	0	0	230	1	1	1	0	1	1	1
CREBP1_Q2	141	116	274	223	230	0.0120555868681579	0.0166661398650077	0.0123703057250795	7.98973233640004	0.333336976904567	0.253477915610272	0.13681558131938
CRX_02	96	114	125	162	230	0.96239739838961	0.963029258316894	0.987659057002814	-11.0582695584448	1	1	1
CTCF_04	193	170	735	616	230	0.00583488098098206	0.0209362316876301	0.00064881184858687	19.6081769126525	0.248206860191006	0.276675786659535	0.0123721707678807
CTCF_06	220	221	1347	1196	230	0.67974499528015	0.0511723259852128	0.00142814428085163	12.8608231316038	1	0.422362630892876	0.0225646796374557
CTF1_01	183	180	569	503	230	0.409638147990305	0.0624033945759894	0.0234161327749209	5.32826243230774	1	0.48360934348845	0.227177568851425
CTIP2_01	0	0	0	0	230	1	1	1	0	1	1	1
CUX1HOXA13_01	1	1	1	1	230	0.750544662309368	0.501227835398965	0.750000494072123	0	1	1	1
CUX1HOXB13_01	1	2	1	2	230	0.875816993464052	0.719422886698475	0.875000741108184	-2.83006767599136	1	1	1
CUX1NHLH1_02	1	0	1	0	230	0.5	0.159709587610477	0.5	0	1	0.69544643393315	1
CUX1RFX5_01	1	2	1	2	230	0.875816993464052	0.719422886698475	0.875000741108184	-3.39229762172817	1	1	1
CUX1SRF_01	2	1	2	1	230	0.5	0.282274967333875	0.5	4.58401471096596	1	0.951758816980894	1
CUX1_06	0	0	0	0	230	1	1	1	0	1	1	1
CUX2_02	0	0	0	0	230	1	1	1	0	1	1	1
DEAF1_02	15	7	18	8	230	0.0622202669258803	0.0400206299841916	0.0377556221633317	17.2909859356339	0.625596502000215	0.362809973463246	0.326232172755038
DEC_Q1	192	188	499	510	230	0.356139708489283	0.604890744890911	0.647332114727111	-1.47929205983004	1	1	1
DLX3_01	145	149	367	469	230	0.686279649693663	0.964851376846485	0.999821132241538	-17.1534913240662	1	1	1
DMRT2_01	10	16	11	16	230	0.921794957033896	0.884324311684725	0.876112053662427	-5.77994228315407	1	1	1
DRRS_02	13	11	15	11	230	0.417223982254764	0.33071033134304	0.27859342744815	3.56858251341237	1	1	1
E2F1EOMES_02	10	6	12	6	230	0.22318039321892	0.151777932682516	0.118938062104655	9.74954660712953	1	0.69544643393315	0.773797039339697
E2F1HES7_02	7	5	8	5	230	0.385708057447676	0.277775946770946	0.290524859842785	5.95117623802671	1	0.951758816980894	1
E2F1NHLH1_01	8	7	9	7	230	0.5	0.39394154432932	0.401808139931599	3.06257160438253	1	1	1
E2F2_05	0	0	0	0	230	1	1	1	0	1	1	1
E2F3DRGX_01	2	5	2	5	230	0.938929704182632	0.87348737153786	0.937501296939322	-4.51763015194959	1	1	1
E2F3FOXI1_01	16	10	16	10	230	0.156386737572434	0.113286006512452	0.16346353425401	7.05899137786529	1	0.652574600014437	0.922401371861916
E2F3ONECUT2_01	0	0	0	0	230	1	1	1	0	1	1	1
E2F7_01	0	0	0	0	230	1	1	1	0	1	1	1
E2F_01	223	220	1007	967	230	0.311220879779263	0.391831586824355	0.189565201660427	6.75822623517284	1	1	1
E4BP4_01	6	6	7	6	230	0.614291942552324	0.497465954339867	0.5	0	1	1	1
EGR3_05	0	0	0	0	230	1	1	1	0	1	1	1
EGR4_02	0	0	0	0	230	1	1	1	0	1	1	1
EGR_Q6	163	144	636	591	230	0.0373460586776708	0.00617092120001568	0.104251400814479	6.87088464346431	0.543483432861894	0.156775081448601	0.711741045066754
ELK1FOXI1_01	0	0	0	0	230	1	1	1	0	1	1	1
ELK1HOXA3_01	3	4	3	4	230	0.775236448167327	0.648811405467983	0.773439121183764	-2.45048994930911	1	1	1
ELK1PAX9_01	0	0	0	0	230	1	1	1	0	1	1	1
ELK1SREBF2_02	0	1	0	1	230	1	0.842394505646199	1	0	1	1	1
ERBETA_Q5	182	180	566	386	230	0.454694608634258	0.0521610359102008	2.87840679784118e-09	31.0868602768457	1	0.423263670739361	1.76862106578464e-07
ERFCLOCK_01	8	2	9	2	230	0.0527728013436894	0.0275813047039808	0.0327134107535115	21.4959526810044	0.606057357385086	0.305049230026028	0.29178251849503
ERFMAX_01	0	0	0	0	230	1	1	1	0	1	1	1
ERFONECUT2_01	2	1	2	1	230	0.5	0.282274967333875	0.5	4.24435045244076	1	0.951758816980894	1
ERFSREBF2_02	1	1	1	1	230	0.750544662309368	0.501227835398965	0.750000494072123	0	1	1	1
ESRRG_02	0	0	0	0	230	1	1	1	0	1	1	1
ETS1_03	0	0	0	0	230	1	1	1	0	1	1	1
ETV2ONECUT2_01	1	0	1	0	230	0.5	0.159709587610477	0.5	0	1	0.69544643393315	1
ETV2RFX5_02	0	0	0	0	230	1	1	1	0	1	1	1
ETV2SPDEF_01	0	0	0	0	230	1	1	1	0	1	1	1
ETV2TBX21_03	1	2	1	2	230	0.875816993464052	0.719422886698475	0.875000741108184	-3.46520100223333	1	1	1
ETV2TCF3_01	6	15	6	15	230	0.988349470563505	0.977740449220773	0.9866996847023	-9.33186212196383	1	1	1
ETV5EOMES_01	53	48	64	58	230	0.32622963560703	0.29390910117446	0.325460214126772	4.16984732389429	1	0.973243909877106	1
ETV5HES7_01	153	120	515	347	230	0.00117195492926344	0.000389722134372982	5.63690286634046e-09	34.5484041580708	0.108605418630726	0.0259481854176786	3.11720728508628e-07
ETV6_01	1	3	1	3	230	0.938316099598118	0.842663534832096	0.937500741107452	-4.39801054132964	1	1	1
ETV7TBX21_01	3	3	3	3	230	0.65727797038133	0.500712007864039	0.656250926390722	0	1	1	1
EVI1_01	2	6	2	6	230	0.966031236635498	0.923162669670132	0.964844830779564	-6.37839454597182	1	1	1
EVI1_03	16	12	17	14	230	0.279632260769181	0.223249658623955	0.360045917014732	2.49389515744942	1	0.881836151564621	1
EVI1_09	0	0	0	0	230	1	1	1	0	1	1	1
EVX2_03	205	201	959	1225	230	0.332104605755421	0.998201868868349	0.999999995053807	-21.9037340269092	1	1	1
EVX2_04	0	4	0	4	230	1	0.977718131712781	1	0	1	1	1
FKHL14_Q2	54	47	73	73	230	0.249643952776809	0.233036037972627	0.532964967576572	2.94621359183253	1	0.907527669006076	1
FLI1CEBPB_01	0	0	0	0	230	1	1	1	0	1	1	1
FOXC1_Q4	153	163	411	506	230	0.865646970090177	0.995285783775869	0.999252600905741	-12.1158226739974	1	1	1
FOXD2_04	0	0	0	0	230	1	1	1	0	1	1	1
FOXG1_01	0	0	0	0	230	1	1	1	0	1	1	1
FOXG1_02	0	0	0	0	230	1	1	1	0	1	1	1
FOXI1_03	0	0	0	0	230	1	1	1	0	1	1	1
FOXJ2_02	147	163	489	722	230	0.954649809717379	0.998960677701266	0.99999999999276	-28.6798431062788	1	1	1
FOXJ2_03	2	1	2	1	230	0.5	0.282274967333875	0.5	3.46696529978294	1	0.951758816980894	1
