transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	fisher_pval	wilcox_pval	fisher_pval2	zscore	fisher_adjusted	wilcox_adjusted	fisher2_adjusted
AEBP2_02	0	0	0	0	1027	1	1	1	0	1	1	1
AFP1_Q6	61	53	65	54	1027	0.250043765754539	0.216285468334629	0.179676597002067	4.71318836792532	0.830040089745544	0.808147729655743	0.844256065773852
AHRARNT_01	737	625	1753	1412	1027	1.05201210401142e-07	7.41090527761229e-08	7.09168322960215e-10	33.475690978738	6.46402992798127e-06	2.41072389324682e-06	1.50834647152692e-08
AHRARNT_02	760	703	1884	1627	1027	0.00315924798516064	4.85821829374902e-05	7.60925318682617e-06	26.1927349746994	0.0253197700839686	0.000790174916600944	0.000120226200351853
AHR_01	880	823	2425	2239	1027	0.00050450516057802	0.00152419187514908	0.00334480721158399	15.3086533446319	0.00549067380185335	0.0183234371077705	0.0348995922265273
AIOLOS_01	7	7	7	7	1027	0.605095015208697	0.500104148972674	0.604738599568259	0	1	1	1
ALX4_01	0	0	0	0	1027	1	1	1	0	1	1	1
AMYB_01	1	1	1	1	1027	0.7501217730151	0.500274745372585	0.75000077454255	0	1	1	1
AP1FJ_Q2	920	895	2603	2642	1027	0.0492405836706474	0.598011346663996	0.709884700346979	-2.47158567475322	0.27230042769868	1	1
AP2ALPHA_03	984	948	20013	16642	1027	0.000506373171599495	2.34953868199823e-08	7.3892727684828e-71	62.9374354418173	0.00549067380185335	9.280677793893e-07	1.36208928032366e-68
AP2_Q6	916	856	10280	8878	1027	7.41370109613809e-05	2.30445365469143e-07	1.35810718589676e-24	50.6221893920874	0.0010512247964524	5.54070813497548e-06	6.82757521637192e-23
AP4_01	0	0	0	0	1027	1	1	1	0	1	1	1
APA1_02	3	1	3	1	1027	0.312317206889207	0.158596164930045	0.312500829868356	6.48250805407198	0.909007449524901	0.655721722283127	1
AREB6_01	894	864	2282	2292	1027	0.0341627466013492	0.457068824571543	0.5647007686123	-0.475140169238448	0.203139772801571	1	1
ARNTLBHLHA15_01	0	4	0	4	1027	1	0.977354950211316	1	0	1	1	1
ARNTL_01	2	3	4	6	1027	0.812804655184657	0.672954355849201	0.828126633800555	-1.82830907226905	1	1	1
AR_02	729	697	1384	1314	1027	0.0688026666981642	0.0687764457924152	0.0918985943023857	8.82263352838057	0.352295135963748	0.4321974377637	0.546450781174401
AR_12	0	0	0	0	1027	1	1	1	0	1	1	1
ATF3_05	2	3	2	3	1027	0.812804655184657	0.672954355849201	0.812501106489122	-2.00193488037088	1	1	1
ATF4TEF_01	22	15	22	20	1027	0.159795102618015	0.125034313088031	0.438810008189564	1.51703647610426	0.626714125870653	0.621634176611201	1
BACH1_01	192	208	237	262	1027	0.828233399310877	0.811690883539228	0.877817703242664	-6.71741270559859	1	1	1
BATF3_01	0	1	0	2	1027	1	0.841580240635145	1	0	1	1	1
BATFJUN_01	37	40	41	44	1027	0.678769259658208	0.635750783507363	0.667684684884031	-1.77717635759275	1	1	1
BATF_04	0	0	0	0	1027	1	1	1	0	1	1	1
BCL11A_03	67	52	73	54	1027	0.0929408174408421	0.0760050469577755	0.0549214247148339	6.30171450162369	0.441862153660229	0.444093543499089	0.404953971564042
BCL6_02	883	862	2757	2859	1027	0.108504992612708	0.832594290791327	0.915629804306723	-6.41766865149014	0.490202338534632	1	1
BEN_02	1020	999	9066	7573	1027	0.00022840167498714	1.09400712055834e-15	1.6903723177511e-31	45.757926614726	0.00268736438867848	3.02492968834382e-13	1.16846986464545e-29
BMAL1_Q6	315	329	405	403	1027	0.762196558928392	0.619137953045854	0.485982147125028	0.407697197554897	1	1	1
BRACH_01	0	0	0	0	1027	1	1	1	0	1	1	1
BRN3B_01	1	5	1	5	1027	0.984488995243641	0.949015644393603	0.984375228212489	-5.44121770774195	1	1	1
