transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	fisher_pval	wilcox_pval	fisher_pval2	zscore	fisher_adjusted	wilcox_adjusted	fisher2_adjusted
AEBP2_02	0	0	0	0	617	1	1	1	0	1	1	1
AFP1_Q6	33	40	36	41	617	0.234648348653579	0.204110694104438	0.324390917081385	-2.79117930811719	1	0.866463238819061	1
AHRARNT_01	431	377	968	878	617	0.999510111595491	0.998266162197561	0.982987407364434	11.439497895796	1	1	1
AHRARNT_02	455	436	1069	1036	617	0.898131277606542	0.804688802555633	0.770841568054178	1.44196341284656	1	1	1
AHR_01	520	480	1386	1309	617	0.998572717114543	0.98109800783599	0.933716368182795	9.26973153305814	1	1	1
AIOLOS_01	5	3	5	3	617	0.856268729899972	0.761054041383362	0.855469475193412	3.91677054585445	1	1	1
ALX4_01	0	1	0	1	617	0.5	0.159047744710906	0.5	0	1	0.765178119217725	1
AMYB_01	0	2	0	2	617	0.249797242497972	0.078733684327829	0.249999815824234	0	1	0.604718436573464	1
AP1FJ_Q2	563	540	1576	1610	617	0.986871420088352	0.341342038574535	0.279166046738596	-3.28733968620151	1	1	1
AP2ALPHA_03	594	567	11205	10332	617	0.999682491953412	0.986141719534758	0.999999999038096	23.1613702321722	1	1	1
AP2_Q6	541	513	5739	5418	617	0.990420140038961	0.978531107034647	0.998897983886605	15.2749562384671	1	1	1
AP4_01	0	0	0	0	617	1	1	1	0	1	1	1
APA1_02	2	0	2	0	617	1	0.921602571008796	1	0	1	1	1
AREB6_01	524	502	1366	1326	617	0.959938004185195	0.801558253532235	0.785525825765931	3.95599958203957	1	1	1
ARNTLBHLHA15_01	0	0	0	0	617	1	1	1	0	1	1	1
ARNTL_01	1	3	2	6	617	0.312195493150387	0.158556692945871	0.144530524806588	-3.56039748045949	1	0.765178119217725	0.850326465131555
AR_02	447	409	889	797	617	0.99201926467519	0.982120476549066	0.988298695065461	15.1303317500022	1	1	1
AR_12	0	0	0	0	617	1	1	1	0	1	1	1
ATF3_05	5	2	5	2	617	0.938032236683821	0.87228863677659	0.937500483461384	6.92913558612361	1	1	1
ATF4TEF_01	11	12	11	12	617	0.5	0.41681084953846	0.5	-1.04177718963218	1	1	1
