transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	fisher_pval	wilcox_pval	fisher_pval2	zscore	fisher_adjusted	wilcox_adjusted	fisher2_adjusted
AEBP2_02	0	0	0	0	1027	1	1	1	0	1	1	1
AFP1_Q6	61	53	65	54	1027	0.807081704535466	0.783769537125553	0.864378990026441	4.71318836792532	1	1	1
AHRARNT_01	737	625	1753	1412	1027	0.999999936710045	0.999999925921902	0.999999999432132	33.475690978738	1	1	1
AHRARNT_02	760	703	1884	1627	1027	0.997661106578104	0.999951433139556	0.999993476808881	26.1927349746994	1	1	1
AHR_01	880	823	2425	2239	1027	0.999670241430046	0.998476182886145	0.996939608926646	15.3086533446319	1	1	1
AIOLOS_01	7	7	7	7	1027	0.605095015208696	0.500104148972674	0.604734705664299	0	1	1	1
ALX4_01	0	0	0	0	1027	1	1	1	0	1	1	1
AMYB_01	1	1	1	1	1027	0.750121773015099	0.500274745372585	0.749999446754649	0	1	1	1
AP1FJ_Q2	920	895	2603	2642	1027	0.963287768625367	0.402017926530051	0.299652546414653	-2.47158567475322	1	1	1
AP2ALPHA_03	984	948	20013	16642	1027	0.999747017986151	0.999999976514475	1	62.9374354418173	1	1	1
AP2_Q6	916	856	10280	8878	1027	0.999956351602001	0.999999769644457	1	50.6221893920874	1	1	1
AP4_01	0	0	0	0	1027	1	1	1	0	1	1	1
APA1_02	3	1	3	1	1027	0.937682614993268	0.841639444218065	0.937499834026329	6.48250805407198	1	1	1
AREB6_01	894	864	2282	2292	1027	0.974337990597184	0.542961249193997	0.446979329427766	-0.475140169238448	1	1	1
ARNTLBHLHA15_01	0	4	0	4	1027	0.0623173850067316	0.0226975060275668	0.0624995020806023	0	1	0.241379791437301	0.388339602815428
ARNTL_01	2	3	4	6	1027	0.499999999999999	0.327360269615692	0.376951218895577	-1.82830907226905	1	1	1
AR_02	729	697	1384	1314	1027	0.943014273218421	0.931233786083849	0.914294889270282	8.82263352838057	1	1	1
AR_12	0	0	0	0	1027	1	1	1	0	1	1	1
ATF3_05	2	3	2	3	1027	0.499999999999999	0.327360269615692	0.499998755197741	-2.00193488037088	1	1	1
ATF4TEF_01	22	15	22	20	1027	0.908130651275677	0.875032176825079	0.678013970649082	1.51703647610426	1	1	1
BACH1_01	192	208	237	262	1027	0.201648257512951	0.188338285875642	0.141285173346123	-6.71741270559859	1	0.738660085739222	0.645708271573603
BATF3_01	0	1	0	2	1027	0.5	0.158890977913091	0.24999922545745	0	1	0.655721722283127	0.940473276720882
BATFJUN_01	37	40	41	44	1027	0.408233139551164	0.364334161489215	0.414205258069969	-1.77717635759275	1	1	1
BATF_04	0	0	0	0	1027	1	1	1	0	1	1	1
BCL11A_03	67	52	73	54	1027	0.934777402060895	0.924021241574273	0.962237591235339	6.30171450162369	1	1	1
BCL6_02	883	862	2757	2859	1027	0.912776874522259	0.167424572767302	0.0885818872298268	-6.41766865149014	1	0.67580867693663	0.500014123393627
BEN_02	1020	999	9066	7573	1027	0.999948582663702	0.999999999999999	1	45.757926614726	1	1	1
BMAL1_Q6	315	329	405	403	1027	0.268201089953443	0.380896930077088	0.542014420366861	0.407697197554897	1	1	1
BRACH_01	0	0	0	0	1027	1	1	1	0	1	1	1
BRN3B_01	1	5	1	5	1027	0.109032346545678	0.0510677910313419	0.109374066400647	-5.44121770774195	1	0.409282441164233	0.54985326108689
BTEB3_Q5	1001	957	12885	11582	1027	0.999999164009511	0.999999866266161	1	50.2951733391095	1	1	1
CACCCBINDINGFACTOR_Q6	902	812	4094	3545	1027	0.999999971732052	0.999999892463433	0.999999999856837	37.2036719149528	1	1	1
CARF_01	6	2	6	2	1027	0.965109933084178	0.921754965620889	0.964843701591205	9.2742966969292	1	1	1
CDC5_01	151	150	167	176	1027	0.549642478855658	0.491218085989071	0.332895777291344	-2.22828845714805	1	1	1
