transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
CMYC_02	348	306	849	663	617	0.000831116246672047	0.0429064794305614
DEC_Q1	530	480	1388	1199	617	0.000397717786561947	0.0274922419960946
FOXN4_01	617	611	9253	8528	617	0.000853474274387297	0.0429064794305614
IRF4_09	366	309	700	504	617	8.65231104509264e-05	0.0159490933597874
MYOGNF1_01	615	601	5646	5038	617	2.43217191159508e-06	0.000672495533556041
PAX3_01	616	610	5653	5213	617	0.000836248461695232	0.0429064794305614
PAX5_01	615	601	7618	6556	617	5.31620787564855e-07	0.000293986295523365
TAXCREB_02	615	607	5463	5001	617	0.00108012717912674	0.0459469484659296
TFE_Q6	310	248	475	400	617	0.000387355630071448	0.0274922419960946
THAP1_01	617	607	5881	5515	617	0.000396491625019758	0.0274922419960946
ZF5_B	598	581	8293	7294	617	0.000259203407750469	0.0274922419960946
ZNF295_01	601	576	8536	7631	617	0.000140407324745504	0.0194113126460659
ZNF777_02	606	593	4531	4075	617	0.00105884013020744	0.0459469484659296
