transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
AHRARNT_01	737	625	1753	1412	1027	7.41090527761229e-08	2.41072389324682e-06
AHRARNT_02	760	703	1884	1627	1027	4.85821829374902e-05	0.000790174916600944
AHR_01	880	823	2425	2239	1027	0.00152419187514908	0.0183234371077705
AP2ALPHA_03	984	948	20013	16642	1027	2.34953868199823e-08	9.280677793893e-07
AP2_Q6	916	856	10280	8878	1027	2.30445365469143e-07	5.54070813497548e-06
BEN_02	1020	999	9066	7573	1027	1.09400712055834e-15	3.02492968834382e-13
BTEB3_Q5	1001	957	12885	11582	1027	1.33786909075386e-07	3.52305527231849e-06
CACCCBINDINGFACTOR_Q6	902	812	4094	3545	1027	1.07579829033019e-07	3.13113923448734e-06
CEBPGELF1_01	93	59	98	65	1027	0.00226548058060652	0.0255675665525593
CTCF_04	874	784	3730	2985	1027	2.16871674603885e-09	9.99416967132903e-08
CTCF_06	992	966	5743	5367	1027	0.000164381405831673	0.00227257293562288
CTF1_01	846	758	2599	2329	1027	6.44917979714647e-05	0.000990665674394999
EGR_Q6	770	653	3384	3046	1027	1.13883879333822e-07	3.14888926358018e-06
ETV5HES7_01	717	573	2449	1712	1027	2.06700946167312e-14	3.81018744101745e-12
FOXN4_01	1026	1014	15853	14070	1027	4.56840574479362e-11	3.15791047108859e-09
GCM1ETV4_01	70	33	73	37	1027	9.38025336431026e-05	0.00133007182319579
GCM2HES7_01	511	418	966	712	1027	8.14557708710311e-06	0.000145306584811872
HES1_Q2	887	818	2440	2215	1027	0.00248745154078981	0.0275112140411353
HIC1_03	731	639	1796	1525	1027	7.9634125156845e-06	0.000145306584811872
HIF1_Q5	691	622	1570	1379	1027	0.00178423344491936	0.0205558561466751
IK1_01	1026	998	7337	6948	1027	0.00135047643663486	0.0165958548768684
IRF4_09	605	518	1187	974	1027	2.27094677101749e-05	0.00039244798886646
KAISO_Q2	1002	952	20257	16233	1027	1.49570905927982e-12	1.37854518296957e-10
LRF_Q6	881	788	4000	3453	1027	3.01622712642637e-08	1.11198240060919e-06
MYOGNF1_01	1026	1000	9296	8438	1027	2.65324145195003e-06	5.43423156640135e-05
NERF_Q2	1012	977	5196	4747	1027	4.37687877211666e-05	0.000733458776054702
PAX2_Q2	896	872	2663	2449	1027	0.00428077677844778	0.0438383251570671
PAX3_01	1027	1006	9532	8522	1027	1.91631596972588e-08	8.15171331737241e-07
PAX5_01	1023	1004	12909	11014	1027	1.24431318715113e-12	1.37621038498915e-10
PAX5_Q6	1006	963	4910	4448	1027	0.000187163418543947	0.00252442366962933
PLAG1_02	776	690	5532	5883	1027	0.002973877655494	0.0316260450670805
PSF_Q5	548	472	831	746	1027	0.00133273509230753	0.0165958548768684
RUNX2_02	86	55	138	69	1027	0.00339245915346205	0.0353967907898965
SALL1_01	252	190	294	244	1027	0.000639421844124731	0.00841905428097562
SMAD4_Q6	1024	1009	8880	8485	1027	0.00257686906865232	0.0279413449993085
SMAD5_Q5	1007	966	10831	8748	1027	2.15305765605211e-13	2.97660220949204e-11
SP1SP3_Q4	650	553	3908	3662	1027	5.59446832996276e-05	0.000883925996134116
SP2_04	1004	980	9208	7929	1027	1.49591142606951e-10	9.19154465129375e-09
SP3_Q3	969	939	5890	5344	1027	6.66630336681693e-06	0.000131659491494634
SREBP1_02	980	937	5135	4794	1027	7.18171155474441e-05	0.00104512802362465
TAXCREB_01	831	760	2263	2018	1027	7.5200055809686e-06	0.000143398727112953
TAXCREB_02	1024	1007	9229	8248	1027	5.80570659593743e-08	2.00659734222087e-06
TFIII_Q6	961	902	4228	3654	1027	1.05867911461332e-07	3.13113923448734e-06
WT1_01	746	629	3927	3371	1027	1.49470198749449e-07	3.75713726856569e-06
ZBP89_Q4_01	693	590	3925	3692	1027	6.8181566173175e-05	0.00101903800253421
ZBTB2_Q3_01	895	839	2912	2516	1027	7.07038873108319e-07	1.5639699873156e-05
ZBTB33_05	101	46	144	57	1027	1.0071898481685e-06	2.14221533091224e-05
ZBTB44_01	797	712	1624	1358	1027	2.96356934241509e-07	6.8285576931481e-06
ZF5_B	999	957	15367	11496	1027	9.39472852849644e-16	3.02492968834382e-13
ZGPAT_01	987	936	10929	8991	1027	1.69475265648328e-10	9.37198219035255e-09
ZNF295_01	1001	976	15092	12817	1027	2.32011791744791e-10	1.16638655304427e-08
ZNF436_02	20	5	20	5	1027	0.00127436757085522	0.0163889596903008
ZNF592_02	1000	962	4386	4041	1027	0.00156374361757083	0.0183989408620568
ZNF777_02	1011	983	7831	6720	1027	3.33972867694722e-11	2.6383856547883e-09
