transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
CDP_01	202	208	763	963	230	0.000711612088704345	0.0340191710635404
CDP_Q6_01	174	187	475	625	230	0.00107055102291585	0.0372868400234606
CEBPG_Q6	191	204	880	1215	230	0.000163508049156375	0.0168096486016398
CPEB1_01	131	168	338	520	230	2.83519928948582e-06	0.00156786520708566
FOXJ2_02	147	163	489	722	230	0.00104182736501858	0.0372868400234606
FOXL2_Q5	140	176	277	409	230	1.94569134347799e-05	0.00358655770981109
HNF1B_01	171	178	479	677	230	0.000799727348690824	0.0340191710635404
HOXD13_01	103	129	189	281	230	0.000786499407136456	0.0340191710635404
HOXD9_Q2	100	132	161	242	230	0.000625277110801988	0.0340191710635404
LBX2_03	216	212	1506	1902	230	0.00107882358114895	0.0372868400234606
MEF2_04	71	102	103	181	230	0.000329662021448344	0.0260432996944192
MEIS1AHOXA9_01	216	213	1090	1350	230	0.000600048325410646	0.0340191710635404
MSX2_Q3	196	199	656	881	230	0.000144318282539007	0.0168096486016398
OCT1_06	206	210	1118	1466	230	0.000385934204098663	0.0266777018583201
PRX2_Q2	183	185	669	998	230	0.000182383167468063	0.0168096486016398
TEF3_Q3	173	196	653	943	230	1.12039403532993e-05	0.00309788950768724
