transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
CDP_Q6_01	767	775	2013	2451	1027	0.000732318450290785	0.0168738376254502
CEBPG_Q6	883	871	3970	4751	1027	0.000179328271037137	0.00755583669512009
CPEB1_01	680	711	1568	1957	1027	0.000161219240474693	0.00742951999854211
DLX3_01	593	650	1490	1954	1027	2.40852948313826e-05	0.00394909250133338
EVX2_03	884	855	3994	4955	1027	5.10205901620482e-05	0.00470239772660211
FOXJ2_02	653	686	2123	2731	1027	0.000204950362435446	0.00755583669512009
FOXL2_Q2	267	328	360	468	1027	0.000729803940480365	0.0168738376254502
HNF1_C	275	342	383	517	1027	0.000150747552158229	0.00742951999854211
HOXB13EOMES_01	850	838	2473	2920	1027	0.000199313676513612	0.00755583669512009
HOXD10_Q2	228	296	341	496	1027	0.000110389534688409	0.00610454126826902
HOXD9_Q2	491	547	817	1040	1027	0.000376392264945464	0.0109549959218338
LBX2_03	973	950	6640	7858	1027	0.000240527210426539	0.00831322171036724
LHX3_01	465	535	1534	2082	1027	1.08718278005432e-05	0.0030060603868502
MEF2_04	357	419	530	706	1027	0.000352107959391359	0.0108175389746345
MEIS1AHOXA9_01	985	956	5169	5764	1027	0.000335905277608803	0.0108175389746345
MEIS1DLX3_01	46	76	46	80	1027	0.00242904195937293	0.0486299896681074
MSX2_Q3	876	885	2978	3641	1027	3.26605060526224e-06	0.00180612598471002
NKX22_01	531	589	1049	1262	1027	0.000564824729306582	0.015617403765327
NKX61_01	277	338	390	511	1027	0.000715403500962589	0.0168738376254502
NKX62_Q2	546	592	1294	1778	1027	2.85648643857749e-05	0.00394909250133338
OTX2_Q3	196	252	223	307	1027	0.000892732522495252	0.019747243397595
PPARG_02	1022	1000	10980	11845	1027	6.85800570652577e-05	0.00474059644463594
PRX2_Q2	821	803	3187	3843	1027	0.000605865053303971	0.0159544464036712
SATB1_Q3	136	198	161	234	1027	9.75402315643957e-05	0.00599330533945676
SIX3_Q6	529	592	1120	1427	1027	4.15078997548874e-05	0.00459077371289055
SOX5_01	657	687	1394	1667	1027	0.00125688604227441	0.0267329992837596
TEAD4ALX4_01	32	58	32	61	1027	0.00246227795787886	0.0486299896681074
TEF3_Q3	811	831	2933	3627	1027	6.64998563822874e-05	0.00474059644463594
