Run	Sample Characteristic[infect]	Sample Characteristic Ontology Term[infect]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[time]	Sample Characteristic Ontology Term[time]	Factor Value[infect]	Factor Value Ontology Term[infect]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[time]	Factor Value Ontology Term[time]	Analysed
ERR597318	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		Yes
ERR597319	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		Yes
ERR597320	H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		Yes
ERR597321	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		Yes
ERR597322	H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		Yes
ERR597323	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		Yes
ERR597324	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		Yes
ERR597325	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		Yes
ERR597326	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		Yes
ERR597327	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		Yes
ERR597328	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		Yes
ERR597329	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		Yes
ERR597330	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		Yes
ERR597331	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		Yes
ERR597332	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		Yes
ERR597333	H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		Yes
ERR597334	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		Yes
ERR597335	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		Yes
ERR597336	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		Yes
ERR597337	H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	lung	http://purl.obolibrary.org/obo/UBERON_0002048	3 day		Yes
ERR597338	H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		Yes
ERR597339	H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		H5N1	http://purl.obolibrary.org/obo/NCBITaxon_102793	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		Yes
ERR597340	H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	lung	http://purl.obolibrary.org/obo/UBERON_0002048	1 day		Yes
ERR597341	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	3 day		Yes
ERR597342	H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		H5N2	http://purl.obolibrary.org/obo/NCBITaxon_119220	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		Yes
ERR597343	none	http://www.ebi.ac.uk/efo/EFO_0001461	Gallus gallus	http://purl.obolibrary.org/obo/NCBITaxon_9031	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		none	http://www.ebi.ac.uk/efo/EFO_0001461	ileum	http://purl.obolibrary.org/obo/UBERON_0002116	1 day		Yes
