query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
query_1,TRUE,0.0203402986656186,718,20,6,0.3,0.00835654596100279,GO:0006955,GO:BP,immune response,24356,2907
query_1,TRUE,0.000161191845181221,1134,20,8,0.4,0.00705467372134039,GO:0005576,GO:CC,extracellular region,24356,248
query_1,TRUE,0.000940209098936357,6,20,2,0.1,0.333333333333333,GO:0005577,GO:CC,fibrinogen complex,24356,249
query_1,TRUE,0.000161153459862624,25,20,3,0.15,0.12,GO:0008009,GO:MF,chemokine activity,24356,1934
query_1,TRUE,0.000587072726807092,38,20,3,0.15,0.0789473684210526,GO:0042379,GO:MF,chemokine receptor binding,24356,6673
query_1,TRUE,0.00212494028744587,58,20,3,0.15,0.0517241379310345,GO:0051087,GO:MF,chaperone binding,24356,9148
query_1,TRUE,0.00905874950066622,94,20,3,0.15,0.0319148936170213,GO:0005125,GO:MF,cytokine activity,24356,1637
query_1,TRUE,0.0307887046300167,142,20,3,0.15,0.0211267605633803,GO:0005126,GO:MF,cytokine receptor binding,24356,1638
query_1,TRUE,0.0334141079587334,146,20,3,0.15,0.0205479452054795,GO:0001664,GO:MF,G protein-coupled receptor binding,24356,315
query_1,TRUE,0.0106493795675505,194,20,3,0.15,0.0154639175257732,KEGG:04060,KEGG,Cytokine-cytokine receptor interaction,24356,233
query_1,TRUE,0.0301091027322421,28,20,2,0.1,0.0714285714285714,REAC:R-GGA-380108,REAC,Chemokine receptors bind chemokines,24356,254
