significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
TRUE,"0,020340298665619",718,20,6,"0,3","0,008356545961003",GO:0006955,GO:BP,immune response,24356,2907
TRUE,"0,000161191845181",1134,20,8,"0,4","0,00705467372134",GO:0005576,GO:CC,extracellular region,24356,248
TRUE,"0,000940209098936",6,20,2,"0,1","0,333333333333333",GO:0005577,GO:CC,fibrinogen complex,24356,249
TRUE,"0,000161153459863",25,20,3,"0,15","0,12",GO:0008009,GO:MF,chemokine activity,24356,1934
TRUE,"0,000587072726807",38,20,3,"0,15","0,078947368421053",GO:0042379,GO:MF,chemokine receptor binding,24356,6673
TRUE,"0,002124940287446",58,20,3,"0,15","0,051724137931035",GO:0051087,GO:MF,chaperone binding,24356,9148
TRUE,"0,009058749500666",94,20,3,"0,15","0,031914893617021",GO:0005125,GO:MF,cytokine activity,24356,1637
TRUE,"0,030788704630017",142,20,3,"0,15","0,02112676056338",GO:0005126,GO:MF,cytokine receptor binding,24356,1638
TRUE,"0,033414107958733",146,20,3,"0,15","0,02054794520548",GO:0001664,GO:MF,G protein-coupled receptor binding,24356,315
TRUE,"0,010649379567551",194,20,3,"0,15","0,015463917525773",KEGG:04060,KEGG,Cytokine-cytokine receptor interaction,24356,233
TRUE,"0,030109102732242",28,20,2,"0,1","0,071428571428571",REAC:R-GGA-380108,REAC,Chemokine receptors bind chemokines,24356,254
