gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSAPLG00000000588	115.389093231454	3.07320211707168	0.49036276841026	6.66835846272458e-11	1.90353849283859e-08
ENSAPLG00000000705	9.06781362759873	2.67494510743199	1.12988145565095	3.13899287015301e-05	0.0028673653537891
ENSAPLG00000000830	43.3036843102652	3.17279778204566	0.568299275037513	3.44765317736339e-09	7.49837203749733e-07
ENSAPLG00000000875	60.9746502288415	0.638263117739545	0.323617186124566	0.000247271619495425	0.0143564225861284
ENSAPLG00000001026	32.2457846671182	1.97098747920679	0.451882983446598	3.49629449519033e-07	5.70312228251166e-05
ENSAPLG00000001038	22.0864245587016	1.69775243663771	1.03672306614965	0.00014243431043172	0.00913792567240319
ENSAPLG00000001137	85.2320893124853	1.78804751385461	0.369948267643443	3.51745973325518e-08	6.69392128681424e-06
ENSAPLG00000001183	1729.21804048598	3.14523177904782	0.436433536525233	1.00824263615146e-13	6.00649591328147e-11
ENSAPLG00000001471	165.54156821551	0.959388089118979	0.310426873343956	2.48714533087983e-06	0.000330862770133159
ENSAPLG00000001610	4249.24622160036	5.27225883507141	0.797602031617659	4.12640608469425e-13	2.06153740197829e-10
ENSAPLG00000002170	457.692336433232	1.8295091113861	0.392706059318688	8.11627333947705e-08	1.50282672023668e-05
ENSAPLG00000002252	1426.83812267756	4.08546703938864	0.441411082605931	1.16590758691092e-21	5.32508858528449e-18
ENSAPLG00000002281	17.4691588919835	0.926034237489383	0.638119757907734	0.000265212997107523	0.0152048053822898
ENSAPLG00000002317	92.7498854764606	2.72293201808192	0.685771111294518	1.97739669330935e-06	0.000268260291997274
ENSAPLG00000002344	16.909329562089	-1.39029358018024	0.712765868464149	7.00521514549759e-05	0.00549864050837587
ENSAPLG00000002434	37.5413445896498	-0.859444485611891	0.995772875674465	0.00115970151526207	0.0468738352864924
ENSAPLG00000002438	2596.15897202875	-0.6150895979402	0.14983943286105	1.6016690355125e-06	0.000226248135305075
ENSAPLG00000002489	636.014508070768	-0.649167647523426	0.473664936125489	0.000587999936139222	0.0280723871950509
ENSAPLG00000002561	19.9199214933005	-1.50449179427825	0.756288103598647	6.67808300987882e-05	0.00531994729077672
ENSAPLG00000002692	101.931696838565	-0.652270389016687	0.308665629153601	0.00018039457286257	0.0111340830511844
ENSAPLG00000002789	87.7698194015879	0.60479713841308	0.307878902491863	0.000311986752156216	0.0175198462214937
ENSAPLG00000002790	159.661691618193	0.938790934594877	0.402281209155166	2.97672677565286e-05	0.00275588582972942
ENSAPLG00000002904	2931.32514975855	3.62116432475167	0.436493121481478	1.07229178751565e-17	1.46925420725395e-14
ENSAPLG00000002963	51.0976095530365	0.980853428215385	1.01043837958822	0.000806725724157587	0.0360057194540953
ENSAPLG00000003290	7.43014770663946	2.08669413918425	1.28691143612693	0.000125739800946854	0.00848475878471917
ENSAPLG00000003345	5.15791479677111	1.13010959731603	1.311900068249	0.000859073820645866	0.037370136297125
ENSAPLG00000003418	56.4799329043134	1.33951977009006	0.564520085187796	2.38584374815288e-05	0.00230217119980217
ENSAPLG00000003440	83.2832464602496	-0.67950355120195	0.30738372052185	0.000127468066005692	0.00848475878471917
ENSAPLG00000003456	234.069973428197	0.580115986114289	0.167866786858701	2.12339460522966e-05	0.00207819663434691
ENSAPLG00000003471	91.5799482124783	1.1932107628961	0.340226782790192	4.30325066292519e-07	6.93684006863541e-05
ENSAPLG00000003551	764.791097999693	2.20164002575728	0.383930028099022	1.9553698781878e-09	4.39220951982447e-07
ENSAPLG00000003660	94.364753739402	-0.769032529632905	0.27914194866896	2.10337845095445e-05	0.00207341665719266
ENSAPLG00000003848	38.2022927466551	-0.939197516735509	0.515223080790932	0.000108751541863518	0.00764160834160983
ENSAPLG00000003957	9.17698444634544	-0.904748681233867	1.04572658172831	0.00110110172963753	0.0451715446092616
ENSAPLG00000004041	323.672385263123	0.868559883381632	0.320785979055218	1.31133993211793e-05	0.0013821522884523
ENSAPLG00000004206	157.42278547926	-0.736596828791697	0.282613564540612	3.83942043786158e-05	0.00337229095125508
ENSAPLG00000004288	86.4718769896797	-1.03665213103929	0.34722053882944	3.07727322577074e-06	0.000397781110750101
ENSAPLG00000004542	59.4902534731967	-0.675888090586548	0.441449199663825	0.000407630766062516	0.0211566543810174
ENSAPLG00000004563	148.976326548298	-1.68227571176035	0.556064649867922	7.15554330107105e-06	0.000805936382264698
ENSAPLG00000004628	175.37135202339	0.813616178339197	0.633610297279799	0.000453292981408504	0.0228619583934941
ENSAPLG00000004777	582.429815196329	0.769735324285591	0.18846893489276	2.09918209056666e-07	3.59537412561804e-05
ENSAPLG00000004825	84.2358122178719	3.83200166017199	0.603844215260128	1.56396883357551e-11	4.98360487387247e-09
ENSAPLG00000004875	210.143445966056	-1.7233565717751	0.555938402630369	6.38447935438376e-06	0.000747693471057831
ENSAPLG00000004899	3639.91422847891	-0.612852963806606	0.17152576213243	1.05389712655492e-05	0.00114607130381393
ENSAPLG00000005288	118.101070658863	2.17754441999324	0.6033321334462	3.60125032806774e-06	0.000444543531488146
ENSAPLG00000005334	14.3134677280876	1.13284747306645	1.05131279604614	0.000567132242399548	0.0274285640923864
ENSAPLG00000005356	19.7497743293124	2.6042259096125	0.697795843347734	3.32595249447689e-06	0.000423284037980667
ENSAPLG00000005382	233.266807749215	5.77345097218051	0.574018455669458	6.97062990420903e-26	9.55115709474721e-22
ENSAPLG00000005387	672.895890545907	1.05326909132623	0.289630853865474	2.15813933083791e-07	3.65071914952358e-05
ENSAPLG00000005432	151.272312066534	0.895395665320475	0.665170533178334	0.000351132392445359	0.0190127687964191
ENSAPLG00000005501	455.258150901788	3.82777542837766	0.462704250062502	9.932541948541e-18	1.46925420725395e-14
ENSAPLG00000005510	115.912825179786	-0.84913892175244	0.483544166193305	0.000151369043809257	0.00964678436406715
ENSAPLG00000005817	524.102829093037	0.929947775235795	0.293727690435888	2.10513219486407e-06	0.000282789424843407
ENSAPLG00000005874	207.177436132127	1.94076021916531	0.37062392872402	1.1835709258447e-08	2.35033171390204e-06
ENSAPLG00000006016	353.956286506204	4.54239899479151	1.03134833860932	1.24071439004609e-07	2.23687744373837e-05
ENSAPLG00000006077	366.231315774804	3.43054306327155	0.486206112320443	2.1242379283724e-13	1.21276283727328e-10
ENSAPLG00000006097	272.463020316841	-1.46850354110564	0.63833207030412	3.18265756702511e-05	0.00287920143460438
ENSAPLG00000006199	21.5830455937714	2.10558519316695	0.487265054166298	5.25418659960129e-07	8.37126334741127e-05
ENSAPLG00000006345	762.119716266504	0.762896286052516	0.222578346021348	2.92038511817497e-06	0.000381096351326033
ENSAPLG00000006762	118.268748544185	1.00928838774138	0.27726677293302	2.27497873727984e-07	3.80143398270834e-05
ENSAPLG00000006787	385.847452000852	2.57285258714751	0.368349242452519	8.60568861361132e-13	3.6848482932407e-10
ENSAPLG00000006829	2352.89823303843	-0.652372621912247	0.165652467968953	1.86120636529721e-06	0.000255022496173024
ENSAPLG00000006851	43.7536534145592	0.692460100567718	0.514589539340406	0.000528888563664867	0.026002732636877
ENSAPLG00000006948	111.651419580171	0.7763686353252	0.49294714881691	0.000267482840900548	0.0152710411917471
ENSAPLG00000006979	798.832112086158	1.89041819496788	0.276053166252388	1.43738486521738e-12	5.88341718258735e-10
ENSAPLG00000006987	256.628508577902	3.17250143357132	0.413468500891222	2.89818477278221e-15	2.83649483976156e-12
ENSAPLG00000007120	906.456286149097	3.52650301141968	0.680097862895872	1.84340084673761e-08	3.55750400028151e-06
ENSAPLG00000007378	65.1663330380752	0.759947702756742	0.395450730673204	0.000142717566332965	0.00913792567240319
ENSAPLG00000007450	208.610287036282	-0.616350433258361	0.208740871666996	5.06593467613386e-05	0.00420687496559916
ENSAPLG00000007508	361.561506996116	3.97808992885214	0.543262523929387	1.47103535484186e-14	1.11978480178017e-11
ENSAPLG00000007709	43.3852431217856	1.63328101835127	1.2522722736549	0.000271778133340028	0.015451883746992
ENSAPLG00000008053	7.35218747639051	1.08226513876291	1.20077001919569	0.000854571859891504	0.037370136297125
ENSAPLG00000008104	102.75570286049	-1.23575860586673	0.688543773060777	9.88107038584513e-05	0.00716351462575925
ENSAPLG00000008444	12.2189560876613	-1.13846295260142	1.08157363681204	0.000597827840168096	0.0284424898124419
ENSAPLG00000008457	188.795130779955	1.53200628113192	0.300245883055078	2.56852763871134e-09	5.67644608155207e-07
ENSAPLG00000008507	110.879898877165	0.891417695561981	0.485279209058392	0.000114708735338011	0.00791780520633874
ENSAPLG00000008657	30.4521901621572	-1.52204101282151	0.725896915201721	5.28484047660702e-05	0.00431029072681365
ENSAPLG00000008888	151.186189355453	0.904160823800312	0.369644036767679	2.40801327818093e-05	0.00230731454109336
ENSAPLG00000009307	4.09496785947795	-1.03042270203165	1.49420748165141	0.00103829411226892	0.0429809846716276
ENSAPLG00000009561	186.35138489788	0.855709856202976	0.311926547978316	1.25834913086369e-05	0.00133658137915459
ENSAPLG00000009584	89.23244469892	2.43533466229128	0.819544751363156	1.34504867820654e-05	0.00140685931212107
ENSAPLG00000009658	815.657111636607	1.36324825792567	0.222760118355526	2.61225599573574e-12	1.02266090438774e-09
ENSAPLG00000009708	348.348278551571	0.709865517891881	0.363362715546578	0.000169333958717964	0.0105085348684616
ENSAPLG00000009754	196.958928841311	2.2961078890764	0.369165238052801	1.37534111185667e-10	3.62402382974233e-08
ENSAPLG00000009863	92.2203286884024	-0.96423974946886	0.331561179592821	4.71787193933184e-06	0.000572073285953317
ENSAPLG00000010062	1192.49579260216	0.994806499466795	0.333440719513734	3.33635061318874e-06	0.000423284037980667
ENSAPLG00000010171	2774.43871968685	3.69974674710218	0.377057380241734	9.16337403270698e-24	6.27782754980755e-20
ENSAPLG00000010291	474.347824226851	2.35594323981519	0.395262929758438	6.40181277388739e-10	1.51237307978974e-07
ENSAPLG00000010356	1990.30239191661	3.22339938492122	0.45757203419621	2.96895832663599e-13	1.62722667966265e-10
ENSAPLG00000010386	506.402944547226	2.91733330896141	0.49621500344595	8.22912408974222e-10	1.91110946233302e-07
ENSAPLG00000010393	231.263886380519	0.626424460830305	0.162493983981017	3.52662040909439e-06	0.000439288662231012
ENSAPLG00000010410	1555.51583306947	2.2332341932969	0.265664864764264	1.64633831992262e-17	2.05073887814361e-14
ENSAPLG00000010562	163.006946961848	-0.675207630746515	0.454499043107134	0.000440776258226301	0.0224517334208802
ENSAPLG00000010913	344.927831698852	2.21783333001354	0.372213837593199	5.92834109964744e-10	1.42508999556788e-07
ENSAPLG00000010997	2110.14453683515	-0.58540777670578	0.137577610572603	1.26875919357424e-06	0.00018494189862079
ENSAPLG00000011142	4800.70459887147	4.05476637962201	0.692925337143483	2.44439892775336e-10	6.31946303925972e-08
ENSAPLG00000011195	2476.72286191274	0.767449350287458	0.179860940769601	9.72192946408531e-08	1.77613170022529e-05
ENSAPLG00000011206	2637.74306743957	2.38641308015756	0.322293661993631	4.55342113007645e-14	2.8359534692867e-11
ENSAPLG00000011260	236.445305264955	0.580031636215483	0.197550733901853	7.4058701287207e-05	0.00573306398326164
ENSAPLG00000011338	938.066473026484	2.59924808877645	0.326076248212561	4.89008388824098e-16	5.15414841820599e-13
ENSAPLG00000011364	317.022024657465	0.900866098026199	0.308079234597315	5.67772548901192e-06	0.000670656850434839
ENSAPLG00000011367	49.6639356918768	1.27068937318562	0.371869486912885	7.5394292652591e-07	0.00011352226350833
ENSAPLG00000011486	89.2140975529057	1.53551618519084	0.379554405524988	2.0887669092427e-07	3.59537412561804e-05
ENSAPLG00000011502	18.424322666179	-2.08660631962974	0.520415947356426	1.22783068246639e-06	0.000180900387216715
ENSAPLG00000011569	176.053956669121	0.784338600761123	0.247755817561016	5.65019771451932e-06	0.000670656850434839
ENSAPLG00000011619	459.221408178798	1.53604530316585	0.415220502021176	7.03532688069147e-07	0.000108312414515994
ENSAPLG00000011683	104.468878977461	1.64282933434291	0.576806253867748	1.036055663634e-05	0.00113568277624904
ENSAPLG00000011748	151.793835457923	1.35105263325547	0.530175443290143	1.50486915015813e-05	0.0015620997799596
ENSAPLG00000011810	480.686349100844	3.482402903871	0.498777092899724	3.36509875699688e-13	1.77340704493736e-10
ENSAPLG00000011856	254.462072225154	0.590378219530773	0.160518297336321	9.82598682860115e-06	0.00108577154456043
ENSAPLG00000011873	137.311805435541	-1.12059560134331	0.579231635220819	7.03624855071861e-05	0.00549864050837587
ENSAPLG00000011904	65.4227871077276	0.624138316281223	0.274511443326966	0.000169492497878413	0.0105085348684616
ENSAPLG00000011950	397.336285474249	2.38930926918332	0.357408290799486	7.27352041183026e-12	2.4307750410463e-09
ENSAPLG00000012209	372.616568449024	0.894197194328778	0.347747388087202	1.74966938424444e-05	0.00177584962243832
ENSAPLG00000012345	16.6149277130798	-0.967506144382359	0.996258479647005	0.000814539694476753	0.0361191679408429
ENSAPLG00000012358	745.78909694379	0.646457122964694	0.152408517749187	6.06990817429038e-07	9.45112293228713e-05
ENSAPLG00000012383	12.3153516713048	2.4015720002396	1.87155871391268	0.000115571525417293	0.00791780520633874
ENSAPLG00000012416	28.6337032474832	-1.21986747076838	0.554394155497898	3.51735969456053e-05	0.00314017857281337
ENSAPLG00000012517	85.9196995209403	-0.732025252130689	0.316476092412331	7.50132252571294e-05	0.00574207381269937
ENSAPLG00000012624	396.870616099338	0.752839172358608	0.30166657766152	4.43014257813126e-05	0.00377029898171146
ENSAPLG00000012641	112.00661581042	1.66286381082286	0.40201516915982	2.65700573554049e-07	4.38630031185251e-05
ENSAPLG00000012663	38.7499855124736	-0.739058107700054	0.636520246941453	0.000675677715384279	0.0311721752733851
ENSAPLG00000012682	111.004099421582	1.33431667243972	0.431539419423096	2.83712201527893e-06	0.000373790825512999
ENSAPLG00000012721	25.9501504051051	2.44747295419326	0.603913775418981	1.55253888685078e-06	0.000221592581537806
ENSAPLG00000012752	399.242444589872	3.23994766421774	0.541777929635142	3.25737059828864e-10	8.11499853413654e-08
ENSAPLG00000012819	188.06792987354	-0.613718202277706	0.205449271175907	4.8169670738863e-05	0.0040742026448389
ENSAPLG00000012902	1322.51800556605	-0.594459781998635	0.142233507608486	1.54488054917198e-06	0.000221592581537806
