transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	fisher_pval	wilcox_pval	fisher_pval2	zscore	fisher_adjusted	wilcox_adjusted	fisher2_adjusted
AEBP2_02	0	0	0	0	522	1	1	1	0	1	1	1
AFP1_Q6	39	23	40	23	522	0.0243621132942527	0.0178812690653424	0.0214754331563269	11.1787381108631	0.66911760993618	0.290090622945661	0.247414886155183
AHRARNT_01	304	326	603	775	522	0.927207136404516	0.989827756993971	0.999998487021441	-22.8501067413237	1	1	1
AHRARNT_02	336	358	694	835	522	0.934235345860663	0.992595596300196	0.999861722972081	-19.8696499270612	1	1	1
AHR_01	403	423	957	1092	522	0.945158078316066	0.977900216882052	0.998685722628193	-16.0905923795629	1	1	1
AIOLOS_01	2	1	2	1	522	0.5	0.282038123449229	0.5	3.31979873766357	1	1	1
ALX4_01	0	0	0	0	522	1	1	1	0	1	1	1
AMYB_01	0	0	0	0	522	1	1	1	0	1	1	1
AP1FJ_Q2	447	451	1217	1307	522	0.672209163693002	0.888051222986121	0.965119288013845	-7.72823600956951	1	1	1
AP2ALPHA_03	471	481	7767	8708	522	0.885192939882576	0.987059109673521	0.999999999999929	-21.4900204522425	1	1	1
AP2_Q6	417	439	4246	4722	522	0.968121591249983	0.987647011124822	0.999999788056273	-26.5284635898889	1	1	1
AP4_01	0	0	0	0	522	1	1	1	0	1	1	1
APA1_02	1	0	1	0	522	0.5	0.159119243389507	0.5	0	1	0.84972592524065	1
AREB6_01	448	437	1131	1143	522	0.194546633693222	0.585600252875325	0.607525372070946	-1.50267293745684	1	1	1
ARNTLBHLHA15_01	1	0	1	0	522	0.5	0.159119243389507	0.5	0	1	0.84972592524065	1
ARNTL_01	1	2	2	4	522	0.87535953978907	0.71870936448127	0.890625612265957	0	1	1	1
AR_02	343	362	664	702	522	0.906913120798354	0.798463607804445	0.854480785691332	-8.65970216704449	1	1	1
AR_12	0	0	0	0	522	1	1	1	0	1	1	1
ATF3_05	3	3	3	3	522	0.656700721986082	0.500312757239033	0.656250408178015	0	1	1	1
ATF4TEF_01	10	8	10	8	522	0.406455171887097	0.317451004736051	0.40726398269883	2.39865922973501	1	1	1
BACH1_01	104	106	129	136	522	0.591561868324832	0.550658056600594	0.688419302738773	-3.24543207697602	1	1	1
BATF3_01	0	0	0	0	522	1	1	1	0	1	1	1
BATFJUN_01	21	24	25	29	522	0.728698512732144	0.668758723168993	0.751696367604381	-2.78956003625376	1	1	1
BATF_04	0	1	0	1	522	1	0.841807847509034	1	0	1	1	1
BCL11A_03	24	33	24	37	522	0.913675266496678	0.894460385911172	0.963915051668328	-5.68681605787235	1	1	1
