transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	fisher_pval	wilcox_pval	fisher_pval2	zscore	fisher_adjusted	wilcox_adjusted	fisher2_adjusted
AEBP2_02	0	0	0	0	901	1	1	1	0	1	1	1
AFP1_Q6	59	51	63	55	901	0.245559876398146	0.216740721514929	0.259739179397217	3.1775724763194	1	0.909906000950774	1
AHRARNT_01	533	567	1019	1364	901	0.954574851957155	0.999966215833964	0.999999999999396	-35.4917849299808	1	1	1
AHRARNT_02	568	613	1119	1460	901	0.988719510032585	0.999984121600791	0.999999999992532	-37.6248496356465	1	1	1
AHR_01	689	741	1649	2019	901	0.998994162192246	0.999990590287532	0.999999999578264	-32.3627278059034	1	1	1
AIOLOS_01	6	4	6	4	901	0.376610375407192	0.263141613401208	0.376952814619025	3.39201497196647	1	1	1
ALX4_01	0	0	0	0	901	1	1	1	0	1	1	1
AMYB_01	1	0	1	0	901	0.5	0.158923960927542	0.5	0	1	0.770923036140018	1
AP1FJ_Q2	758	771	2097	2165	901	0.821167761480248	0.856322342304868	0.854986221464232	-3.9927977755328	1	1	1
AP2ALPHA_03	816	843	13673	15872	901	0.992784616079574	0.999967986117493	1	-38.2008708211894	1	1	1
AP2_Q6	724	766	7882	8414	901	0.996321404369313	0.99516458886499	0.999986230046948	-24.4630758325399	1	1	1
AP4_01	0	0	0	0	901	1	1	1	0	1	1	1
APA1_02	2	0	2	0	901	0.249861188228762	0.0787071853295696	0.249999873877319	0	1	0.565260694639636	1
AREB6_01	747	750	1873	1937	901	0.599187933488869	0.742215109154915	0.854074701600882	-4.90401813767716	1	1	1
ARNTLBHLHA15_01	3	2	3	2	901	0.5	0.327360223652099	0.5	3.00115382550371	1	1	1
ARNTL_01	1	7	2	14	901	0.996154227248713	0.983242043795569	0.999740612594498	-6.86657283606419	1	1	1
AR_02	588	618	1124	1169	901	0.939708837947013	0.825119002419049	0.831769838635069	-6.92644153881596	1	1	1
AR_12	0	0	0	0	901	1	1	1	0	1	1	1
ATF3_05	6	2	6	2	901	0.143983918820944	0.0783033525820601	0.144530753391317	9.27433409592989	1	0.565260694639636	0.918683984199981
ATF4TEF_01	25	20	25	21	901	0.273200674148343	0.226545849997236	0.329367171738672	2.99259922276575	1	0.934924291406503	1
BACH1_01	184	150	227	190	901	0.02266472875331	0.022584572276387	0.0388780475747064	10.7342458410541	0.498681577001858	0.285871287769201	0.35580842907084
BATF3_01	0	0	0	0	901	1	1	1	0	1	1	1
BATFJUN_01	27	23	28	26	901	0.333705958461526	0.286330886222968	0.445960839467027	2.41088565452746	1	1	1
BATF_04	0	0	0	0	901	1	1	1	0	1	1	1
BCL11A_03	42	39	43	40	901	0.410139853937943	0.36674773676783	0.413200566837522	1.22528241691846	1	1	1
BCL6_02	766	757	2630	2500	901	0.301221383214705	0.0826769831034499	0.0356570118346325	9.72623902616332	1	0.577997807997403	0.344351710505656
BEN_02	878	878	6411	6917	901	0.559263131873768	0.997958589255325	0.999994758599162	-16.334818694681	1	1	1
BMAL1_Q6	281	291	356	353	901	0.711123172953264	0.616944933145154	0.470061120595754	0.5959513773947	1	1	1
BRACH_01	0	0	0	0	901	1	1	1	0	1	1	1
BRN3B_01	7	6	7	6	901	0.5	0.390517742836982	0.5	1.15673500241323	1	1	1
BTEB3_Q5	837	844	9731	10504	901	0.774212364796889	0.998641167990036	0.999999977467536	-32.2989977685388	1	1	1
CACCCBINDINGFACTOR_Q6	676	722	2899	3227	901	0.996056216005799	0.997928239997555	0.99998728381195	-25.7542011305187	1	1	1
CARF_01	9	2	9	2	901	0.0323126858896638	0.0171669690786197	0.0327144779453274	16.3100358238767	0.567613462851769	0.263703719457686	0.328929205523019
CDC5_01	168	140	199	162	901	0.045493548565036	0.039128389596969	0.0289770426237075	10.3000157986968	0.679944117742295	0.420569139021707	0.308159703286735
CDPCR3_01	636	648	1428	1514	901	0.750680341088513	0.714837575099886	0.945779425804425	-8.85427635878142	1	1	1
CDP_01	774	792	3722	3385	901	0.907743614844682	0.00559528881790098	3.25550732634702e-05	16.6518312023774	1	0.128924779845802	0.000692421365949963
CDP_Q6_01	714	685	2313	2206	901	0.0566789733651027	0.0475494650939048	0.0572055302868273	7.84136177568195	0.783586806772545	0.46955096780231	0.458473307950949
CEBPGELF1_01	56	67	60	74	901	0.868876882621664	0.849574973023697	0.902579218130405	-5.95355122049233	1	1	1
CEBPG_Q6	761	759	4654	4138	901	0.474156881397912	0.00610736594384884	1.83378751193902e-08	26.0996967416774	1	0.129898975651862	8.45070411751899e-07
CIZ_03	0	1	0	1	901	1	0.841613154998138	1	0	1	1	1
CLOCKFIGLA_01	89	112	100	147	901	0.96385331886944	0.966266999771757	0.998904551980576	-15.4660594696415	1	1	1
CLOCKNHLH1_01	17	46	18	50	901	0.999955539726241	0.999900022545149	0.999977739221063	-20.5307642719381	1	1	1
CMYB_01	0	0	0	0	901	1	1	1	0	1	1	1
CMYC_02	446	500	950	1207	901	0.995273462885404	0.999454190538729	0.999999986862174	-17.6985872779872	1	1	1
COE2_02	0	1	0	1	901	1	0.841613154998138	1	0	1	1	1
CP2_01	867	877	5702	5749	901	0.929281631795765	0.499873088506645	0.673593459773216	-1.97742400793406	1	1	1
CPEB1_01	675	613	2175	1790	901	0.000723605166133934	2.56357329800257e-06	5.01066840306468e-10	24.224935565834	0.0800307313744131	0.000354414008448855	2.77089962689477e-08
CREB3L1_02	0	0	0	0	901	1	1	1	0	1	1	1
CREBP1_Q2	489	500	866	998	901	0.715005905159328	0.926471257926521	0.998975971077181	-11.5899103257385	1	1	1
CRX_02	438	438	632	694	901	0.518795287441108	0.58905162486704	0.958263962893683	-8.79205757250673	1	1	1
CTCF_04	663	708	2509	2881	901	0.994486816083892	0.999525413226068	0.99999982046259	-27.3080714259177	1	1	1
CTCF_06	831	856	4586	4922	901	0.994037191462057	0.996427481746254	0.999734629835502	-15.0874348799196	1	1	1
CTF1_01	656	695	1958	2218	901	0.985229375861284	0.994957439951381	0.999973767944195	-15.0735929517003	1	1	1
CTIP2_01	1	4	1	5	901	0.968923370038077	0.910546199123058	0.984375118239835	-6.00054527521754	1	1	1
CUX1HOXA13_01	8	5	8	5	901	0.289826569091127	0.201991946776343	0.290526709685528	5.31087579378542	1	0.893612372538544	1
CUX1HOXB13_01	16	15	16	15	901	0.5	0.428215533609625	0.5	0.966776412030026	1	1	1
CUX1NHLH1_02	1	3	1	3	901	0.937708159786469	0.841680685933882	0.937500189183974	-5.5981370421483	1	1	1
CUX1RFX5_01	18	25	19	26	901	0.891761705267942	0.85973234920603	0.883656061212544	-6.207141156032	1	1	1
CUX1SRF_01	1	0	1	0	901	0.5	0.158923960927542	0.5	0	1	0.770923036140018	1
CUX1_06	2	4	2	5	901	0.891015624919289	0.793604772108321	0.937500331072038	-4.06263117387504	1	1	1
CUX2_02	0	1	0	1	901	1	0.841613154998138	1	0	1	1	1
DEAF1_02	33	42	39	44	901	0.880991784307053	0.851341740666214	0.74479947016234	-3.36298010679546	1	1	1
DEC_Q1	689	716	1694	1899	901	0.944285279864863	0.993253445519872	0.999709848395688	-13.8323682423159	1	1	1
DLX3_01	619	580	2045	1718	901	0.0288842210401356	0.000748590482864777	5.11422755825824e-08	29.7122924582621	0.560487001307839	0.0272418821136263	2.17551372285908e-06
DMRT2_01	35	43	40	45	901	0.851274737800886	0.817865518095316	0.742291650979006	-3.48230797374641	1	1	1
DRRS_02	41	58	41	60	901	0.968865796190234	0.961344168403437	0.976980729168022	-7.38219629969666	1	1	1
E2F1EOMES_02	15	30	16	30	901	0.992594343550355	0.988058927893068	0.98705281208489	-13.1575411280295	1	1	1
E2F1HES7_02	14	24	14	27	901	0.965025606139005	0.950214244043751	0.986234214372969	-11.21319029779	1	1	1
E2F1NHLH1_01	17	13	18	13	901	0.290736292868093	0.230045662141467	0.236563085609353	6.40783797783255	1	0.942335193809118	1
E2F2_05	0	0	0	0	901	1	1	1	0	1	1	1
E2F3DRGX_01	22	21	22	21	901	0.5	0.438750784032285	0.5	0.690929803492791	1	1	1
E2F3FOXI1_01	34	55	35	62	901	0.991837309363169	0.989400194058325	0.997887559490348	-12.8527565409528	1	1	1
E2F3ONECUT2_01	0	0	0	0	901	1	1	1	0	1	1	1
E2F7_01	0	1	0	1	901	1	0.841613154998138	1	0	1	1	1
E2F_01	845	849	3952	3957	901	0.690040489879621	0.043973771493943	0.526948430834155	2.31552912997784	1	0.450323993262046	1
E4BP4_01	30	19	32	19	901	0.0733986920843882	0.0549414263048424	0.0459551904000788	8.33603827536785	0.849525729358176	0.498075553222587	0.403384449067358
EGR3_05	2	0	2	0	901	0.249861188228762	0.0787071853295696	0.249999873877319	0	1	0.565260694639636	1
EGR4_02	0	0	0	0	901	1	1	1	0	1	1	1
EGR_Q6	525	608	2699	2884	901	0.999979303232018	0.999914990286799	0.993666859401049	-21.9176744114291	1	1	1
ELK1FOXI1_01	2	2	2	2	901	0.687708391268022	0.500221573220234	0.687500189184165	0	1	1	1
ELK1HOXA3_01	20	27	20	27	901	0.881632181737622	0.849551970239563	0.878522690967865	-6.48280306420352	1	1	1
ELK1PAX9_01	0	0	0	0	901	1	1	1	0	1	1	1
ELK1SREBF2_02	4	5	4	5	901	0.746641691075701	0.630978831454219	0.746094246609184	-1.84483053889388	1	1	1
ERBETA_Q5	639	686	1359	1684	901	0.994832763296121	0.999717351617917	0.999999998388008	-29.0896189798195	1	1	1
ERFCLOCK_01	21	15	21	15	901	0.200128366943802	0.156325756672457	0.202513977076182	6.72412662555121	1	0.770923036140018	1
ERFMAX_01	0	2	0	2	901	1	0.921523110018076	1	0	1	1	1
ERFONECUT2_01	3	3	3	3	901	0.656510706501532	0.500181014483315	0.656250236480385	0	1	1	1
ERFSREBF2_02	2	4	2	6	901	0.891015624919289	0.793863443471073	0.964844025893156	-6.58332252890455	1	1	1
ESRRG_02	0	0	0	0	901	1	1	1	0	1	1	1
ETS1_03	0	0	0	0	901	1	1	1	0	1	1	1
ETV2ONECUT2_01	1	2	1	2	901	0.875208217656857	0.718473338273723	0.875000189184022	-2.91686256171425	1	1	1
ETV2RFX5_02	0	0	0	0	901	1	1	1	0	1	1	1
ETV2SPDEF_01	0	0	0	0	901	1	1	1	0	1	1	1
ETV2TBX21_03	1	2	1	2	901	0.875208217656857	0.718473338273723	0.875000189184022	-3.46496638052889	1	1	1
ETV2TCF3_01	53	85	56	85	901	0.998331779539508	0.99751355120638	0.994372970047788	-12.8755248001739	1	1	1
ETV5EOMES_01	130	165	143	190	901	0.989102922461085	0.988854704199255	0.995787293191661	-17.8376874107527	1	1	1
ETV5HES7_01	483	544	1328	1688	901	0.998417347892166	0.999884340760449	0.999999999977428	-37.362511075941	1	1	1
ETV6_01	4	7	4	9	901	0.887435691765716	0.818608089892923	0.953857950259927	-6.28103845686158	1	1	1
ETV7TBX21_01	11	16	12	16	901	0.877895555998602	0.832988179349178	0.827537489786491	-4.6106345406039	1	1	1
