transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	fisher_pval	wilcox_pval	fisher_pval2	zscore	fisher_adjusted	wilcox_adjusted	fisher2_adjusted
AEBP2_02	0	0	0	0	522	1	1	1	0	1	1	1
AFP1_Q6	39	23	40	23	522	0.987351517664608	0.982140793115128	0.988714350506225	11.1787381108631	1	1	1
AHRARNT_01	304	326	603	775	522	0.0919718786141803	0.0101780520217647	1.96612012324141e-06	-22.8501067413237	0.784073475255666	0.188557528363176	5.07421277790724e-05
AHRARNT_02	336	358	694	835	522	0.0842719564536254	0.00740875470301057	0.000168514562521851	-19.8696499270612	0.784073475255666	0.157780527636607	0.00274083979631128
AHR_01	403	423	957	1092	522	0.0739334690784777	0.0221108281069783	0.0015189982234549	-16.0905923795629	0.784073475255666	0.271717509847978	0.0190910458538764
AIOLOS_01	2	1	2	1	522	0.87535953978907	0.71870936448127	0.875000326541559	3.31979873766357	1	1	1
ALX4_01	0	0	0	0	522	1	1	1	0	1	1	1
AMYB_01	0	0	0	0	522	1	1	1	0	1	1	1
AP1FJ_Q2	447	451	1217	1307	522	0.394504198705996	0.111988505761642	0.0380653236979908	-7.72823600956951	1	0.647006923488215	0.300716057214127
AP2ALPHA_03	471	481	7767	8708	522	0.162909499465371	0.0129477498712708	8.00522378700457e-14	-21.4900204522425	1	0.2006380793454	1.47562958473784e-11
AP2_Q6	417	439	4246	4722	522	0.0452870989090797	0.0123595926842219	2.36827949814746e-07	-26.5284635898889	0.626094142418027	0.2006380793454	6.89293980250286e-06
AP4_01	0	0	0	0	522	1	1	1	0	1	1	1
APA1_02	1	0	1	0	522	1	0.841807847509034	1	0	1	1	1
AREB6_01	448	437	1131	1143	522	0.84934858534436	0.414481291609379	0.408698534819206	-1.50267293745684	1	0.992243092034575	1
ARNTLBHLHA15_01	1	0	1	0	522	1	0.841807847509034	1	0	1	1	1
ARNTL_01	1	2	2	4	522	0.5	0.282038123449229	0.343749591821985	0	1	0.831814203398429	1
AR_02	343	362	664	702	522	0.117075170586228	0.201596350808445	0.158245807095854	-8.65970216704449	0.895861950060654	0.7170269963866	0.770763066950874
AR_12	0	0	0	0	522	1	1	1	0	1	1	1
ATF3_05	3	3	3	3	522	0.656700721986083	0.500312757239033	0.656250408178015	0	1	1	1
ATF4TEF_01	10	8	10	8	522	0.761597929823905	0.682873444891447	0.75966055773071	2.39865922973501	1	1	1
BACH1_01	104	106	129	136	522	0.46923730067383	0.449458442462934	0.356243196615853	-3.24543207697602	1	1	1
