transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	fisher_pval	wilcox_pval	fisher_pval2	zscore	fisher_adjusted	wilcox_adjusted	fisher2_adjusted
AEBP2_02	0	0	0	0	901	1	1	1	0	1	1	1
AFP1_Q6	59	51	63	55	901	0.812038996588407	0.783323364815046	0.796264225563251	3.1775724763194	1	1	1
AHRARNT_01	533	567	1019	1364	901	0.0554370496350135	3.37976358389853e-05	8.13631284621294e-13	-35.4917849299808	0.374045237176649	0.00133500661563992	4.09034636723251e-11
AHRARNT_02	568	613	1119	1460	901	0.014571023554625	1.58849266074997e-05	9.80248628768146e-12	-37.6248496356465	0.190358910186857	0.000798578583086122	3.87198208363418e-10
AHR_01	689	741	1649	2019	901	0.0014810134425141	9.41361811008772e-06	5.19224133274743e-10	-32.3627278059034	0.0682500361425248	0.000578414534986501	1.51121550368912e-08
AIOLOS_01	6	4	6	4	901	0.82880973539763	0.737088005687603	0.828125620761323	3.39201497196647	1	1	1
ALX4_01	0	0	0	0	901	1	1	1	0	1	1	1
AMYB_01	1	0	1	0	901	1	0.841613154998138	1	0	1	1	1
AP1FJ_Q2	758	771	2097	2165	901	0.215236692012216	0.143698502260776	0.152118088435912	-3.9927977755328	0.820868211605208	0.556315562082882	0.647086945423533
AP2ALPHA_03	816	843	13673	15872	901	0.0115832848704904	3.20261491692056e-05	2.57184069350788e-38	-38.2008708211894	0.173123149550844	0.00133500661563992	3.55556975877464e-36
AP2_Q6	724	766	7882	8414	901	0.00530547811735341	0.00483668698746729	1.47576809324151e-05	-24.4630758325399	0.131899836971024	0.0524448608641061	0.000214763093569093
AP4_01	0	0	0	0	901	1	1	1	0	1	1	1
APA1_02	2	0	2	0	901	1	0.921523110018076	1	0	1	1	1
AREB6_01	747	750	1873	1937	901	0.450015679514633	0.257814689139127	0.153476569132525	-4.90401813767716	1	0.774845234206181	0.647882005574705
ARNTLBHLHA15_01	3	2	3	2	901	0.812847318780037	0.672998439658368	0.812500315306941	3.00115382550371	1	1	1
ARNTL_01	1	7	2	14	901	0.0348528532784423	0.0167907310446499	0.00209038297350413	-6.86657283606419	0.305930600999661	0.127786920562545	0.0169997321227615
AR_02	588	618	1124	1169	901	0.0732295720670776	0.174905267500613	0.178945937184607	-6.92644153881596	0.445010476407625	0.586197654108115	0.735860960508707
AR_12	0	0	0	0	901	1	1	1	0	1	1	1
ATF3_05	6	2	6	2	901	0.965147146721558	0.921811602154862	0.964844025893156	9.27433409592989	1	1	1
ATF4TEF_01	25	20	25	21	901	0.817392137604459	0.773555003016409	0.769307022408762	2.99259922276575	1	1	1
BACH1_01	184	150	227	190	901	0.983126063587208	0.977422620188201	0.968697148744766	10.7342458410541	1	1	1
BATF3_01	0	0	0	0	901	1	1	1	0	1	1	1
BATFJUN_01	27	23	28	26	901	0.763171902843165	0.713777397083344	0.65825743640373	2.41088565452746	1	1	1
BATF_04	0	0	0	0	901	1	1	1	0	1	1	1
