transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
CEBPG_Q6	747	737	4495	3960	876	0.000426742388501	0.0162699865422892
CPEB1_01	678	606	2232	1747	876	8.74066535242682e-07	9.66717587978406e-05
DLX3_01	619	563	1966	1732	876	0.000946833153695201	0.0275578281049182
EVX2_03	753	731	4689	4201	876	0.000821311876179128	0.0252325259737254
FOXC1_Q4	660	586	2275	1766	876	3.73850605570459e-07	5.16848462201159e-05
FOXJ2_02	666	574	3057	2370	876	3.74379570536868e-09	2.07031902506888e-06
FOXL2_Q5	655	618	1584	1396	876	0.00108473541102162	0.0299929341147479
FOXO3_01	618	549	1484	1303	876	0.000313193432211954	0.0137059205557255
HNF3B_01	640	553	2168	1681	876	1.10432698267421e-08	3.05346410709419e-06
HOXB13EOMES_01	735	701	2692	2434	876	0.00189126670693742	0.0454726299537562
HOXD13_01	545	492	1265	1023	876	0.000199652861846951	0.0121167981649499
LBX2_03	802	803	7396	6684	876	0.00183992448470484	0.0454726299537562
LHX3_01	528	464	2132	1784	876	0.000250014901401491	0.0125689309522749
MSX2_Q3	782	771	3419	3113	876	0.000727732166048849	0.0251522429890633
NKX62_Q2	581	502	1779	1529	876	9.56765480287874e-05	0.00661364138248993
PIT1_Q6	718	680	3143	2800	876	0.00148814137938303	0.0391877229904197
POU3F2_01	671	652	4284	3476	876	6.00345320072147e-05	0.00474272802856996
PRX2_Q2	746	686	3941	3365	876	1.22138557280825e-05	0.00112571036960494
SALL3_01	395	323	540	439	876	0.000322200664058647	0.0137059205557255
SIX3_Q6	565	495	1470	1260	876	0.000441319707295368	0.0162699865422892
STAT1_10	566	524	1178	995	876	0.000797544520580412	0.0252325259737254
TEF3_Q3	760	710	4019	3227	876	2.11776138627144e-08	3.90374015536036e-06
TST1_01	791	763	5828	5170	876	0.000219110274230558	0.0121167981649499
