transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
FOXN4_01	513	517	6144	7392	522	8.89209019072973e-09	4.91732587547354e-06
HIF1_Q5	288	346	529	789	522	2.57373330942672e-07	7.11637260056488e-05
NRF1_02	4	21	7	52	522	0.000280524881938242	0.019391282463981
PAX3_01	515	513	3925	4448	522	3.33093183775895e-05	0.00460501326570175
PAX5_01	513	515	4980	5591	522	0.000637079715780364	0.039145009202949
PLAGL2_03	81	128	91	156	522	8.3218867628989e-05	0.00767000563313849
SP2_04	485	497	3599	4244	522	0.000867893350473506	0.0460700713507265
TAXCREB_02	503	513	3597	4175	522	8.88060130511754e-06	0.00163699084057667
TFAP2CELK1_01	1	15	1	16	522	0.000211407599761808	0.0167012003811828
ZF5_B	476	490	4881	6294	522	7.74662997895209e-05	0.00767000563313849
ZNF777_02	494	495	3055	3535	522	0.000916402865927652	0.0460700713507265
