transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
AHRARNT_01	533	567	1019	1364	901	3.37976358389853e-05	0.00133500661563992
AHRARNT_02	568	613	1119	1460	901	1.58849266074997e-05	0.000798578583086122
AHR_01	689	741	1649	2019	901	9.41361811008772e-06	0.000578414534986501
AP2ALPHA_03	816	843	13673	15872	901	3.20261491692056e-05	0.00133500661563992
BEN_02	878	878	6411	6917	901	0.00204199741436577	0.0266515036424659
BTEB3_Q5	837	844	9731	10504	901	0.00135923633424142	0.0203150727793379
CACCCBINDINGFACTOR_Q6	676	722	2899	3227	901	0.00207235923440513	0.0266515036424659
CLOCKNHLH1_01	17	46	18	50	901	0.000100090146542528	0.00307499172433434
CMYC_02	446	500	950	1207	901	0.000545995594638719	0.0111827986605634
CTCF_04	663	708	2509	2881	901	0.000474742060591938	0.0100973984425901
CTCF_06	831	856	4586	4922	901	0.00357349149278668	0.0420455488406603
EGR_Q6	525	608	2699	2884	901	8.50414347052818e-05	0.00276634784658946
ERBETA_Q5	639	686	1359	1684	901	0.00028274580648682	0.0064678021649278
ETV2TCF3_01	53	85	56	85	901	0.00248796728951556	0.0305743535800468
ETV5HES7_01	483	544	1328	1688	901	0.000115702307037007	0.00319916878957324
FOXN4_01	878	888	10841	12821	901	8.73247692125811e-12	4.82905973745574e-09
GATAD2A_01	861	867	5121	5605	901	0.000783282106789142	0.0139727420985289
GCM2HES7_01	300	378	523	743	901	1.06328676500429e-05	0.000587997581047371
HES1_Q2	722	766	1797	2102	901	5.70804503200484e-05	0.00197284306418667
HIC1_03	511	567	1220	1388	901	0.000685882219305126	0.0130353043782425
HIC2_01	818	840	3834	4206	901	0.00145065184433121	0.0205694992285939
HIF1_Q5	542	577	1002	1330	901	0.000112206529947126	0.00319916878957324
IK1_01	860	879	5582	6231	901	0.00142837997848547	0.0205694992285939
KAISO_Q2	827	842	14235	15104	901	0.00100980431056923	0.0169218722346904
KLF9_01	133	183	171	246	901	0.000890701383132051	0.0153924332772508
LRF_Q6	641	704	2782	3118	901	0.00129178760887275	0.0203150727793379
MEIS1EOMES_01	829	856	3623	4231	901	2.15564064577664e-05	0.000993391064262069
MTF1_01	836	846	3633	4133	901	6.99332066218628e-07	5.52472332312716e-05
MYOGNF1_01	869	879	7052	7740	901	5.33775952681841e-05	0.00196785401222039
NR4A2_04	23	47	23	49	901	0.0016885312918096	0.023003012218286
NRF1_02	9	24	20	55	901	0.00420467498602843	0.0474527605566065
PAX2_Q2	734	767	1963	2207	901	0.00130648258255112	0.0203150727793379
PAX3_01	878	883	6733	7697	901	4.0830408007686e-07	3.7632026047084e-05
PAX5_01	873	879	8402	9892	901	5.58641974154785e-10	1.54464505853798e-07
PBX1_05	833	853	3613	3948	901	0.00281859740760972	0.0338844427480039
PSF_Q5	384	451	563	692	901	0.000292396119571781	0.0064678021649278
RFX_Q6	481	519	702	850	901	0.00135576774046747	0.0203150727793379
RREB1_01	730	766	2996	4166	901	0.00170546745198865	0.023003012218286
SP2_04	829	855	6230	7169	901	0.000173604381120602	0.00457158203617586
SP3_Q3	802	820	4329	4931	901	0.00026643674841842	0.00640606616849507
SREBP1_02	799	841	3399	4355	901	5.77733475307003e-08	6.38973223689545e-06
TAXCREB_01	638	702	1555	1773	901	0.000707159369524911	0.0130353043782425
TAXCREB_02	861	886	6337	7440	901	3.15227856042324e-09	5.81070014638017e-07
TEAD4ONECUT2_01	0	8	0	8	901	0.00230172905733569	0.0289285492887872
THAP1_01	863	882	7618	8310	901	0.000232138077109975	0.00583510712008255
ZF5_B	828	842	8784	11057	901	3.99152080901407e-06	0.000275913875923098
ZGPAT_01	800	823	7796	8283	901	0.00418084290426883	0.0474527605566065
ZNF295_01	838	856	10646	11580	901	0.000643040641932489	0.0127000526781667
ZNF777_02	834	861	5070	5991	901	4.24590529853639e-08	5.86996407522656e-06
