query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
query_1,TRUE,3.81168229942235e-47,11193,605,440,0.727272727272727,0.0393102832127222,GO:0008150,GO:BP,biological_process,25952,3550
query_1,TRUE,3.35290057292609e-45,6590,605,320,0.528925619834711,0.0485584218512898,GO:0065007,GO:BP,biological regulation,25952,18687
query_1,TRUE,8.17930733981664e-42,4426,605,248,0.409917355371901,0.0560325350203344,GO:0050896,GO:BP,response to stimulus,25952,15476
query_1,TRUE,3.89066849769608e-41,10251,605,407,0.672727272727273,0.0397034435664813,GO:0009987,GO:BP,cellular process,25952,4294
query_1,TRUE,4.68917977917958e-39,6201,605,297,0.490909090909091,0.0478955007256894,GO:0050789,GO:BP,regulation of biological process,25952,15387
query_1,TRUE,1.06948254588812e-37,1000,605,107,0.176859504132231,0.107,GO:0002376,GO:BP,immune system process,25952,1042
query_1,TRUE,3.03299323625374e-36,5914,605,283,0.467768595041322,0.0478525532634427,GO:0050794,GO:BP,regulation of cellular process,25952,15391
query_1,TRUE,3.21168532777662e-32,3853,605,211,0.348760330578512,0.054762522709577,GO:0051716,GO:BP,cellular response to stimulus,25952,16130
query_1,TRUE,4.87156316272316e-32,494,605,71,0.117355371900826,0.143724696356275,GO:0006955,GO:BP,immune response,25952,2907
query_1,TRUE,2.53174353597219e-30,998,605,97,0.160330578512397,0.0971943887775551,GO:0009605,GO:BP,response to external stimulus,25952,3997
query_1,TRUE,6.0024358528212e-29,3360,605,188,0.310743801652893,0.055952380952381,GO:0007154,GO:BP,cell communication,25952,3074
query_1,TRUE,1.35994376177302e-28,3322,605,186,0.307438016528926,0.0559903672486454,GO:0023052,GO:BP,signaling,25952,7683
query_1,TRUE,9.8399517959469e-28,2908,605,170,0.28099173553719,0.0584594222833563,GO:0048518,GO:BP,positive regulation of biological process,25952,14903
query_1,TRUE,3.22600497403621e-27,3081,605,175,0.289256198347107,0.0567997403440441,GO:0007165,GO:BP,signal transduction,25952,3085
query_1,TRUE,1.133954743877e-24,520,605,64,0.105785123966942,0.123076923076923,GO:0002682,GO:BP,regulation of immune system process,25952,1336
query_1,TRUE,2.04894663431624e-23,1752,605,119,0.196694214876033,0.0679223744292237,GO:0048583,GO:BP,regulation of response to stimulus,25952,14958
query_1,TRUE,8.98758137116334e-23,409,605,55,0.0909090909090909,0.134474327628362,GO:0051707,GO:BP,response to other organism,25952,16122
query_1,TRUE,1.01611851975363e-22,410,605,55,0.0909090909090909,0.134146341463415,GO:0043207,GO:BP,response to external biotic stimulus,25952,12249
query_1,TRUE,1.12782547226322e-22,427,605,56,0.0925619834710744,0.131147540983607,GO:0009607,GO:BP,response to biotic stimulus,25952,3999
query_1,TRUE,1.27021216753404e-21,1385,605,101,0.166942148760331,0.0729241877256318,GO:0070887,GO:BP,cellular response to chemical stimulus,25952,19192
query_1,TRUE,1.40330091049618e-21,2664,605,149,0.246280991735537,0.0559309309309309,GO:0048522,GO:BP,positive regulation of cellular process,25952,14907
query_1,TRUE,3.98501036888232e-21,1888,605,120,0.198347107438017,0.0635593220338983,GO:0042221,GO:BP,response to chemical,25952,11670
query_1,TRUE,4.8555439572568e-21,6369,605,261,0.431404958677686,0.0409797456429581,GO:0071704,GO:BP,organic substance metabolic process,25952,19767
query_1,TRUE,2.54216033363933e-20,1295,605,95,0.15702479338843,0.0733590733590734,GO:0010033,GO:BP,response to organic substance,25952,4328
query_1,TRUE,5.08717710095683e-20,349,605,48,0.0793388429752066,0.137535816618911,GO:0045321,GO:BP,leukocyte activation,25952,13277
query_1,TRUE,5.88306363208096e-20,5372,605,230,0.380165289256198,0.0428145941921072,GO:0043170,GO:BP,macromolecule metabolic process,25952,12238
query_1,TRUE,5.95120238167238e-20,538,605,59,0.0975206611570248,0.109665427509294,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,25952,12841
query_1,TRUE,7.4263787711008e-20,6850,605,271,0.447933884297521,0.0395620437956204,GO:0008152,GO:BP,metabolic process,25952,3551
query_1,TRUE,3.28973588334454e-19,397,605,50,0.0826446280991736,0.125944584382872,GO:0001775,GO:BP,cell activation,25952,565
query_1,TRUE,4.68688377829338e-19,1549,605,103,0.170247933884298,0.0664945125887669,GO:0006950,GO:BP,response to stress,25952,2903
query_1,TRUE,3.48628089276898e-18,368,605,47,0.0776859504132231,0.127717391304348,GO:0034097,GO:BP,response to cytokine,25952,9709
query_1,TRUE,5.32095771024859e-18,494,605,54,0.0892561983471074,0.109311740890688,GO:0006952,GO:BP,defense response,25952,2904
query_1,TRUE,6.55465915890758e-18,3239,605,160,0.264462809917355,0.0493979623340537,GO:0019222,GO:BP,regulation of metabolic process,25952,6508
query_1,TRUE,7.38086972584009e-18,2579,605,138,0.228099173553719,0.0535091120589376,GO:0048519,GO:BP,negative regulation of biological process,25952,14904
query_1,TRUE,1.7289874816593e-17,256,605,39,0.0644628099173554,0.15234375,GO:0002252,GO:BP,immune effector process,25952,920
query_1,TRUE,3.48136134759152e-17,6027,605,241,0.398347107438017,0.0399867263978762,GO:0044238,GO:BP,primary metabolic process,25952,12741
query_1,TRUE,4.09734839155515e-17,5641,605,230,0.380165289256198,0.0407729126041482,GO:0006807,GO:BP,nitrogen compound metabolic process,25952,2782
query_1,TRUE,4.44616858788978e-17,1096,605,81,0.133884297520661,0.0739051094890511,GO:0071310,GO:BP,cellular response to organic substance,25952,19425
query_1,TRUE,5.96761784616291e-17,2347,605,128,0.211570247933884,0.0545377077119727,GO:0048523,GO:BP,negative regulation of cellular process,25952,14908
query_1,TRUE,3.12694648133843e-16,262,605,38,0.0628099173553719,0.145038167938931,GO:0098542,GO:BP,defense response to other organism,25952,22106
query_1,TRUE,4.73465278331795e-16,345,605,43,0.0710743801652893,0.12463768115942,GO:0071345,GO:BP,cellular response to cytokine stimulus,25952,19458
query_1,TRUE,5.67027619317911e-16,1266,605,86,0.142148760330579,0.0679304897314376,GO:0035556,GO:BP,intracellular signal transduction,25952,10508
query_1,TRUE,1.10466165191738e-15,3004,605,147,0.24297520661157,0.0489347536617843,GO:0060255,GO:BP,regulation of macromolecule metabolic process,25952,17102
query_1,TRUE,1.50643898597281e-15,1286,605,86,0.142148760330579,0.0668740279937792,GO:0007166,GO:BP,cell surface receptor signaling pathway,25952,3086
query_1,TRUE,1.59730694323033e-15,244,605,36,0.059504132231405,0.147540983606557,GO:0050776,GO:BP,regulation of immune response,25952,15379
query_1,TRUE,2.24897027800982e-15,293,605,39,0.0644628099173554,0.133105802047782,GO:0046649,GO:BP,lymphocyte activation,25952,14327
query_1,TRUE,3.03645402518245e-15,6014,605,235,0.388429752066116,0.0390754905221151,GO:0044237,GO:BP,cellular metabolic process,25952,12740
query_1,TRUE,5.92537005485872e-15,3376,605,157,0.259504132231405,0.0465047393364929,GO:0051179,GO:BP,localization,25952,15714
query_1,TRUE,6.64504302926552e-15,4502,605,191,0.315702479338843,0.0424255886272768,GO:0044260,GO:BP,cellular macromolecule metabolic process,25952,12755
query_1,TRUE,8.67174438191107e-15,2949,605,143,0.236363636363636,0.048491013903018,GO:0031323,GO:BP,regulation of cellular metabolic process,25952,8293
query_1,TRUE,2.08512972276135e-14,329,605,40,0.0661157024793388,0.121580547112462,GO:0002684,GO:BP,positive regulation of immune system process,25952,1338
query_1,TRUE,2.57935981753037e-14,904,605,68,0.112396694214876,0.0752212389380531,GO:0048584,GO:BP,positive regulation of response to stimulus,25952,14959
query_1,TRUE,8.18542664043478e-14,1778,605,101,0.166942148760331,0.0568053993250844,GO:0009893,GO:BP,positive regulation of metabolic process,25952,4234
query_1,TRUE,8.34730509442402e-14,2840,605,137,0.226446280991736,0.0482394366197183,GO:0080090,GO:BP,regulation of primary metabolic process,25952,20968
query_1,TRUE,1.02885409726471e-13,1646,605,96,0.158677685950413,0.0583232077764277,GO:0010604,GO:BP,positive regulation of macromolecule metabolic process,25952,4771
query_1,TRUE,2.48187791629674e-13,3778,605,165,0.272727272727273,0.0436739015352038,GO:1901564,GO:BP,organonitrogen compound metabolic process,25952,24840
