query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
query_1,TRUE,6.20682459159808e-07,112,41,7,0.170731707317073,0.0625,GO:0009615,GO:BP,response to virus,25952,4006
query_1,TRUE,3.95222641954962e-06,80,41,6,0.146341463414634,0.075,GO:0140546,GO:BP,defense response to symbiont,25952,23224
query_1,TRUE,3.95222641954962e-06,80,41,6,0.146341463414634,0.075,GO:0051607,GO:BP,defense response to virus,25952,16035
query_1,TRUE,7.83232604829193e-06,256,41,8,0.195121951219512,0.03125,GO:0002252,GO:BP,immune effector process,25952,920
query_1,TRUE,1.66524725744283e-05,409,41,9,0.219512195121951,0.0220048899755501,GO:0051707,GO:BP,response to other organism,25952,16122
query_1,TRUE,1.7007140116688e-05,410,41,9,0.219512195121951,0.0219512195121951,GO:0043207,GO:BP,response to external biotic stimulus,25952,12249
query_1,TRUE,2.41372145386355e-05,427,41,9,0.219512195121951,0.0210772833723653,GO:0009607,GO:BP,response to biotic stimulus,25952,3999
query_1,TRUE,3.81114696626507e-05,1000,41,12,0.292682926829268,0.012,GO:0002376,GO:BP,immune system process,25952,1042
query_1,TRUE,8.4090199387072e-05,494,41,9,0.219512195121951,0.0182186234817814,GO:0006955,GO:BP,immune response,25952,2907
query_1,TRUE,0.000173533775117646,538,41,9,0.219512195121951,0.016728624535316,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,25952,12841
query_1,TRUE,0.000223590590063113,262,41,7,0.170731707317073,0.0267175572519084,GO:0098542,GO:BP,defense response to other organism,25952,22106
query_1,TRUE,0.000380962161743597,998,41,11,0.268292682926829,0.0110220440881764,GO:0009605,GO:BP,response to external stimulus,25952,3997
query_1,TRUE,0.00470873923382112,19,41,3,0.0731707317073171,0.157894736842105,GO:0045071,GO:BP,negative regulation of viral genome replication,25952,13176
query_1,TRUE,0.00872460305236785,167,41,5,0.121951219512195,0.029940119760479,GO:0045087,GO:BP,innate immune response,25952,13177
query_1,TRUE,0.0150572195715317,494,41,7,0.170731707317073,0.01417004048583,GO:0006952,GO:BP,defense response,25952,2904
query_1,TRUE,0.0434455145489023,39,41,3,0.0731707317073171,0.0769230769230769,GO:0048525,GO:BP,negative regulation of viral process,25952,14910
query_1,TRUE,0.000701664479274566,583,41,8,0.195121951219512,0.0137221269296741,GO:0017111,GO:MF,nucleoside-triphosphatase activity,25952,4001
query_1,TRUE,0.00110351914499566,620,41,8,0.195121951219512,0.0129032258064516,GO:0016462,GO:MF,pyrophosphatase activity,25952,3565
query_1,TRUE,0.00114071501552404,281,41,6,0.146341463414634,0.0213523131672598,GO:0016887,GO:MF,ATPase activity,25952,3871
query_1,TRUE,0.00114328451651825,623,41,8,0.195121951219512,0.0128410914927769,GO:0016817,GO:MF,hydrolase activity, acting on acid anhydrides,25952,3803
query_1,TRUE,0.00114328451651825,623,41,8,0.195121951219512,0.0128410914927769,GO:0016818,GO:MF,hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,25952,3804
query_1,TRUE,0.00582393146073502,108,41,4,0.0975609756097561,0.037037037037037,GO:0004386,GO:MF,helicase activity,25952,1015
query_1,TRUE,0.00792655192297444,40,41,3,0.0731707317073171,0.075,GO:0003724,GO:MF,RNA helicase activity,25952,447
query_1,TRUE,0.00845943825326773,240,41,5,0.121951219512195,0.0208333333333333,GO:0140098,GO:MF,catalytic activity, acting on RNA,25952,11788
query_1,TRUE,0.00919001645254359,42,41,3,0.0731707317073171,0.0714285714285714,GO:0003725,GO:MF,double-stranded RNA binding,25952,448
query_1,TRUE,0.0127008076171132,11593,41,31,0.75609756097561,0.0026740274303459,GO:0003674,GO:MF,molecular_function,25952,406
query_1,TRUE,0.0228087938730284,1849,41,11,0.268292682926829,0.00594916170903191,GO:0016787,GO:MF,hydrolase activity,25952,3777
