query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
query_1,TRUE,6.42340650374935e-26,11193,486,331,0.681069958847737,0.0295720539622979,GO:0008150,GO:BP,biological_process,25952,3550
query_1,TRUE,2.81906382906433e-18,10251,486,295,0.606995884773663,0.0287776802263194,GO:0009987,GO:BP,cellular process,25952,4294
query_1,TRUE,1.17468110242736e-14,122,486,24,0.0493827160493827,0.19672131147541,GO:0030198,GO:BP,extracellular matrix organization,25952,7773
query_1,TRUE,1.43446947332679e-14,123,486,24,0.0493827160493827,0.195121951219512,GO:0043062,GO:BP,extracellular structure organization,25952,12173
query_1,TRUE,1.98694437662059e-13,2843,486,117,0.240740740740741,0.0411537108688006,GO:0032502,GO:BP,developmental process,25952,8845
query_1,TRUE,3.08582810775546e-13,1304,486,72,0.148148148148148,0.0552147239263804,GO:0009653,GO:BP,anatomical structure morphogenesis,25952,4041
query_1,TRUE,1.45593945333629e-12,3386,486,129,0.265432098765432,0.0380980507974011,GO:0032501,GO:BP,multicellular organismal process,25952,8844
query_1,TRUE,2.59266916655218e-12,2642,486,109,0.224279835390947,0.0412566237698713,GO:0048856,GO:BP,anatomical structure development,25952,15211
query_1,TRUE,1.09900174390951e-11,2364,486,100,0.205761316872428,0.0423011844331641,GO:0007275,GO:BP,multicellular organism development,25952,3186
query_1,TRUE,4.70962153392216e-11,1844,486,84,0.172839506172839,0.0455531453362256,GO:0048869,GO:BP,cellular developmental process,25952,15223
query_1,TRUE,5.52605942165999e-11,2205,486,94,0.193415637860082,0.0426303854875283,GO:0048731,GO:BP,system development,25952,15094
query_1,TRUE,2.6061411994982e-10,640,486,44,0.0905349794238683,0.06875,GO:0007155,GO:BP,cell adhesion,25952,3075
query_1,TRUE,3.23245067280589e-10,644,486,44,0.0905349794238683,0.0683229813664596,GO:0022610,GO:BP,biological adhesion,25952,7637
query_1,TRUE,6.87446631539078e-10,1795,486,80,0.164609053497942,0.0445682451253482,GO:0030154,GO:BP,cell differentiation,25952,7751
query_1,TRUE,2.7514302268004e-09,28,486,11,0.0226337448559671,0.392857142857143,GO:0030199,GO:BP,collagen fibril organization,25952,7774
query_1,TRUE,3.98610180008467e-09,1542,486,71,0.146090534979424,0.0460440985732815,GO:0048513,GO:BP,animal organ development,25952,14898
query_1,TRUE,2.97288675688158e-08,916,486,50,0.102880658436214,0.0545851528384279,GO:0009888,GO:BP,tissue development,25952,4229
query_1,TRUE,1.42416021482573e-07,3048,486,107,0.220164609053498,0.0351049868766404,GO:0016043,GO:BP,cellular component organization,25952,5674
query_1,TRUE,2.2386506438803e-07,970,486,50,0.102880658436214,0.0515463917525773,GO:0048468,GO:BP,cell development,25952,14868
query_1,TRUE,3.30643758069149e-07,3133,486,108,0.222222222222222,0.034471752314076,GO:0071840,GO:BP,cellular component organization or biogenesis,25952,19843
query_1,TRUE,3.67226338986708e-07,6590,486,186,0.382716049382716,0.0282245827010622,GO:0065007,GO:BP,biological regulation,25952,18687
query_1,TRUE,5.66490561682765e-07,6201,486,177,0.364197530864198,0.0285437832607644,GO:0050789,GO:BP,regulation of biological process,25952,15387
query_1,TRUE,1.13084859233308e-06,559,486,35,0.0720164609053498,0.0626118067978533,GO:0072359,GO:BP,circulatory system development,25952,20303
query_1,TRUE,1.41191909657075e-06,454,486,31,0.0637860082304527,0.0682819383259912,GO:0009790,GO:BP,embryo development,25952,4152
query_1,TRUE,1.41275586615192e-06,991,486,49,0.10082304526749,0.0494450050454087,GO:0006928,GO:BP,movement of cell or subcellular component,25952,2885
query_1,TRUE,4.39966832681957e-06,476,486,31,0.0637860082304527,0.0651260504201681,GO:0000902,GO:BP,cell morphogenesis,25952,310
query_1,TRUE,5.12599303582124e-06,425,486,29,0.0596707818930041,0.0682352941176471,GO:0031175,GO:BP,neuron projection development,25952,8251
query_1,TRUE,5.91509674812741e-06,5914,486,167,0.343621399176955,0.0282380791342577,GO:0050794,GO:BP,regulation of cellular process,25952,15391
query_1,TRUE,7.5194623679736e-06,3778,486,119,0.244855967078189,0.0314981471678137,GO:1901564,GO:BP,organonitrogen compound metabolic process,25952,24840
query_1,TRUE,9.02243217395516e-06,357,486,26,0.0534979423868313,0.0728291316526611,GO:0097435,GO:BP,supramolecular fiber organization,25952,21954
query_1,TRUE,1.16248432383608e-05,496,486,31,0.0637860082304527,0.0625,GO:0048666,GO:BP,neuron development,25952,15030
query_1,TRUE,1.33850950475121e-05,499,486,31,0.0637860082304527,0.062124248496994,GO:0009887,GO:BP,animal organ morphogenesis,25952,4228
query_1,TRUE,1.47809628525242e-05,340,486,25,0.051440329218107,0.0735294117647059,GO:0048598,GO:BP,embryonic morphogenesis,25952,14969
query_1,TRUE,2.21250464731513e-05,3376,486,108,0.222222222222222,0.0319905213270142,GO:0051179,GO:BP,localization,25952,15714
query_1,TRUE,2.24869239076935e-05,297,486,23,0.0473251028806584,0.0774410774410774,GO:0001501,GO:BP,skeletal system development,25952,435
query_1,TRUE,2.98928311784013e-05,6850,486,184,0.378600823045267,0.0268613138686131,GO:0008152,GO:BP,metabolic process,25952,3551
query_1,TRUE,3.46491954463998e-05,549,486,32,0.065843621399177,0.058287795992714,GO:0048646,GO:BP,anatomical structure formation involved in morphogenesis,25952,15010
query_1,TRUE,8.97629686226508e-05,346,486,24,0.0493827160493827,0.069364161849711,GO:0070848,GO:BP,response to growth factor,25952,19173
query_1,TRUE,8.99876623371225e-05,1752,486,66,0.135802469135802,0.0376712328767123,GO:0048583,GO:BP,regulation of response to stimulus,25952,14958
query_1,TRUE,0.00013985629010397,1850,486,68,0.139917695473251,0.0367567567567568,GO:0065008,GO:BP,regulation of biological quality,25952,18688
query_1,TRUE,0.000149224351780228,4426,486,129,0.265432098765432,0.0291459557162223,GO:0050896,GO:BP,response to stimulus,25952,15476
query_1,TRUE,0.000152981873871211,710,486,36,0.0740740740740741,0.0507042253521127,GO:0030030,GO:BP,cell projection organization,25952,7711
query_1,TRUE,0.000190059907118273,1051,486,46,0.0946502057613169,0.043767840152236,GO:0007399,GO:BP,nervous system development,25952,3296
query_1,TRUE,0.000205998878721108,335,486,23,0.0473251028806584,0.0686567164179104,GO:0000904,GO:BP,cell morphogenesis involved in differentiation,25952,312
query_1,TRUE,0.000241818202819835,338,486,23,0.0473251028806584,0.0680473372781065,GO:0071363,GO:BP,cellular response to growth factor stimulus,25952,19476
