query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
query_1,TRUE,3.75173071969956e-18,11193,346,236,0.682080924855491,0.0210846064504601,GO:0008150,GO:BP,biological_process,25952,3550
query_1,TRUE,5.13232832058935e-10,10251,346,203,0.586705202312139,0.0198029460540435,GO:0009987,GO:BP,cellular process,25952,4294
query_1,TRUE,2.12608630481199e-06,4426,346,104,0.300578034682081,0.0234975146859467,GO:0050896,GO:BP,response to stimulus,25952,15476
query_1,TRUE,2.16609954454399e-06,509,346,27,0.0780346820809249,0.0530451866404715,GO:0055114,GO:BP,oxidation-reduction process,25952,16877
query_1,TRUE,4.61822105086631e-06,718,346,32,0.092485549132948,0.0445682451253482,GO:0006629,GO:BP,lipid metabolic process,25952,2620
query_1,TRUE,6.19763305453882e-06,1385,346,47,0.135838150289017,0.0339350180505415,GO:0070887,GO:BP,cellular response to chemical stimulus,25952,19192
query_1,TRUE,2.83255578135946e-05,3386,346,83,0.239884393063584,0.0245126993502658,GO:0032501,GO:BP,multicellular organismal process,25952,8844
query_1,TRUE,0.000278739365996359,2364,346,62,0.179190751445087,0.0262267343485618,GO:0007275,GO:BP,multicellular organism development,25952,3186
query_1,TRUE,0.000317032378489371,1888,346,53,0.153179190751445,0.0280720338983051,GO:0042221,GO:BP,response to chemical,25952,11670
query_1,TRUE,0.000366649569946234,1096,346,37,0.106936416184971,0.0337591240875912,GO:0071310,GO:BP,cellular response to organic substance,25952,19425
query_1,TRUE,0.000429343574152367,1295,346,41,0.11849710982659,0.0316602316602317,GO:0010033,GO:BP,response to organic substance,25952,4328
query_1,TRUE,0.000465973823262817,6850,346,134,0.38728323699422,0.0195620437956204,GO:0008152,GO:BP,metabolic process,25952,3551
query_1,TRUE,0.000680552920791324,2205,346,58,0.167630057803468,0.0263038548752834,GO:0048731,GO:BP,system development,25952,15094
query_1,TRUE,0.000826255815721105,171,346,13,0.0375722543352601,0.0760233918128655,GO:0006631,GO:BP,fatty acid metabolic process,25952,2622
query_1,TRUE,0.0011491514100131,122,346,11,0.0317919075144509,0.0901639344262295,GO:0030198,GO:BP,extracellular matrix organization,25952,7773
query_1,TRUE,0.00124716926376282,123,346,11,0.0317919075144509,0.0894308943089431,GO:0043062,GO:BP,extracellular structure organization,25952,12173
query_1,TRUE,0.00187805183288066,2843,346,68,0.196531791907514,0.0239183960604995,GO:0032502,GO:BP,developmental process,25952,8845
query_1,TRUE,0.00201172487801576,315,346,17,0.0491329479768786,0.053968253968254,GO:0008610,GO:BP,lipid biosynthetic process,25952,3649
query_1,TRUE,0.00223327482826639,547,346,23,0.0664739884393064,0.0420475319926874,GO:0044255,GO:BP,cellular lipid metabolic process,25952,12751
query_1,TRUE,0.0023964217265635,28,346,6,0.0173410404624277,0.214285714285714,GO:0030199,GO:BP,collagen fibril organization,25952,7774
query_1,TRUE,0.00253582316170417,1542,346,44,0.127167630057803,0.0285343709468223,GO:0048513,GO:BP,animal organ development,25952,14898
query_1,TRUE,0.0025417979549406,1752,346,48,0.138728323699422,0.0273972602739726,GO:0048583,GO:BP,regulation of response to stimulus,25952,14958
query_1,TRUE,0.00271782459362463,2642,346,64,0.184971098265896,0.024224072672218,GO:0048856,GO:BP,anatomical structure development,25952,15211
query_1,TRUE,0.00354273776442664,3853,346,84,0.242774566473988,0.0218011938749027,GO:0051716,GO:BP,cellular response to stimulus,25952,16130
query_1,TRUE,0.00389526457094142,921,346,31,0.0895953757225433,0.0336590662323561,GO:0044281,GO:BP,small molecule metabolic process,25952,12768
query_1,TRUE,0.0107481513271581,357,346,17,0.0491329479768786,0.0476190476190476,GO:0097435,GO:BP,supramolecular fiber organization,25952,21954
query_1,TRUE,0.0108575232750147,559,346,22,0.0635838150289017,0.0393559928443649,GO:0072359,GO:BP,circulatory system development,25952,20303
query_1,TRUE,0.0205780979556732,1304,346,37,0.106936416184971,0.0283742331288344,GO:0009653,GO:BP,anatomical structure morphogenesis,25952,4041
query_1,TRUE,0.0213964186746144,24,346,5,0.0144508670520231,0.208333333333333,GO:0016126,GO:BP,sterol biosynthetic process,25952,5744
query_1,TRUE,0.0230685641416534,83,346,8,0.023121387283237,0.0963855421686747,GO:0090101,GO:BP,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,25952,21234
query_1,TRUE,0.0261682527050359,916,346,29,0.0838150289017341,0.0316593886462882,GO:0009888,GO:BP,tissue development,25952,4229
query_1,TRUE,0.027493969386787,139,346,10,0.0289017341040462,0.0719424460431655,GO:0071559,GO:BP,response to transforming growth factor beta,25952,19650
query_1,TRUE,0.0286270193422963,346,346,16,0.046242774566474,0.046242774566474,GO:0070848,GO:BP,response to growth factor,25952,19173
query_1,TRUE,0.0288427342102274,640,346,23,0.0664739884393064,0.0359375,GO:0007155,GO:BP,cell adhesion,25952,3075
query_1,TRUE,0.0317986681676151,644,346,23,0.0664739884393064,0.0357142857142857,GO:0022610,GO:BP,biological adhesion,25952,7637
query_1,TRUE,0.0360272322136683,1286,346,36,0.104046242774566,0.0279937791601866,GO:0007166,GO:BP,cell surface receptor signaling pathway,25952,3086
query_1,TRUE,0.041738602120062,1561,346,41,0.11849710982659,0.0262652146060218,GO:0010646,GO:BP,regulation of cell communication,25952,4812
query_1,TRUE,0.0475552993033152,1570,346,41,0.11849710982659,0.0261146496815287,GO:0023051,GO:BP,regulation of signaling,25952,7682
query_1,TRUE,2.62802719866344e-21,991,346,61,0.176300578034682,0.0615539858728557,GO:0005576,GO:CC,extracellular region,25952,248
query_1,TRUE,4.28311636010397e-16,11217,346,230,0.664739884393064,0.020504591245431,GO:0005575,GO:CC,cellular_component,25952,247
query_1,TRUE,2.15068414073827e-15,11117,346,227,0.65606936416185,0.0204191778357471,GO:0110165,GO:CC,cellular anatomical entity,25952,3871
query_1,TRUE,7.59697558494798e-14,107,346,19,0.0549132947976879,0.177570093457944,GO:0062023,GO:CC,collagen-containing extracellular matrix,25952,2694
query_1,TRUE,1.20886567206264e-13,162,346,22,0.0635838150289017,0.135802469135802,GO:0031012,GO:CC,extracellular matrix,25952,1208
query_1,TRUE,6.87282970260715e-13,421,346,32,0.092485549132948,0.0760095011876485,GO:0005615,GO:CC,extracellular space,25952,285
query_1,TRUE,1.06540104800777e-07,23,346,8,0.023121387283237,0.347826086956522,GO:0005581,GO:CC,collagen trimer,25952,252
