significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,,
TRUE,"6,20682459159808E-07",112,41,7,"0,170731707317073","0,0625",GO:0009615,GO:BP,response to virus,25952,4006,,
TRUE,"3,95222641954962E-06",80,41,6,"0,146341463414634","0,075",GO:0140546,GO:BP,defense response to symbiont,25952,23224,,
TRUE,"3,95222641954962E-06",80,41,6,"0,146341463414634","0,075",GO:0051607,GO:BP,defense response to virus,25952,16035,,
TRUE,"7,83232604829193E-06",256,41,8,"0,195121951219512","0,03125",GO:0002252,GO:BP,immune effector process,25952,920,,
TRUE,"1,66524725744283E-05",409,41,9,"0,219512195121951","0,02200488997555",GO:0051707,GO:BP,response to other organism,25952,16122,,
TRUE,"1,7007140116688E-05",410,41,9,"0,219512195121951","0,021951219512195",GO:0043207,GO:BP,response to external biotic stimulus,25952,12249,,
TRUE,"2,41372145386355E-05",427,41,9,"0,219512195121951","0,021077283372365",GO:0009607,GO:BP,response to biotic stimulus,25952,3999,,
TRUE,"3,81114696626507E-05",1000,41,12,"0,292682926829268","0,012",GO:0002376,GO:BP,immune system process,25952,1042,,
TRUE,"8,4090199387072E-05",494,41,9,"0,219512195121951","0,018218623481781",GO:0006955,GO:BP,immune response,25952,2907,,
TRUE,"0,000173533775118",538,41,9,"0,219512195121951","0,016728624535316",GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,25952,12841,,
TRUE,"0,000223590590063",262,41,7,"0,170731707317073","0,026717557251908",GO:0098542,GO:BP,defense response to other organism,25952,22106,,
TRUE,"0,000380962161744",998,41,11,"0,268292682926829","0,011022044088176",GO:0009605,GO:BP,response to external stimulus,25952,3997,,
TRUE,"0,004708739233821",19,41,3,"0,073170731707317","0,157894736842105",GO:0045071,GO:BP,negative regulation of viral genome replication,25952,13176,,
TRUE,"0,008724603052368",167,41,5,"0,121951219512195","0,029940119760479",GO:0045087,GO:BP,innate immune response,25952,13177,,
TRUE,"0,015057219571532",494,41,7,"0,170731707317073","0,01417004048583",GO:0006952,GO:BP,defense response,25952,2904,,
TRUE,"0,043445514548902",39,41,3,"0,073170731707317","0,076923076923077",GO:0048525,GO:BP,negative regulation of viral process,25952,14910,,
TRUE,"0,000701664479275",583,41,8,"0,195121951219512","0,013722126929674",GO:0017111,GO:MF,nucleoside-triphosphatase activity,25952,4001,,
TRUE,"0,001103519144996",620,41,8,"0,195121951219512","0,012903225806452",GO:0016462,GO:MF,pyrophosphatase activity,25952,3565,,
TRUE,"0,001140715015524",281,41,6,"0,146341463414634","0,02135231316726",GO:0016887,GO:MF,ATPase activity,25952,3871,,
TRUE,"0,001143284516518",623,41,8,"0,195121951219512","0,012841091492777",GO:0016817,GO:MF,hydrolase activity, acting on acid anhydrides,25952,3803,
TRUE,"0,001143284516518",623,41,8,"0,195121951219512","0,012841091492777",GO:0016818,GO:MF,hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,25952,3804
TRUE,"0,005823931460735",108,41,4,"0,097560975609756","0,037037037037037",GO:0004386,GO:MF,helicase activity,25952,1015,,
TRUE,"0,007926551922974",40,41,3,"0,073170731707317","0,075",GO:0003724,GO:MF,RNA helicase activity,25952,447,,
TRUE,"0,008459438253268",240,41,5,"0,121951219512195","0,020833333333333",GO:0140098,GO:MF,catalytic activity, acting on RNA,25952,11788,
TRUE,"0,009190016452544",42,41,3,"0,073170731707317","0,071428571428571",GO:0003725,GO:MF,double-stranded RNA binding,25952,448,,
TRUE,"0,012700807617113",11593,41,31,"0,75609756097561","0,002674027430346",GO:0003674,GO:MF,molecular_function,25952,406,,
TRUE,"0,022808793873028",1849,41,11,"0,268292682926829","0,005949161709032",GO:0016787,GO:MF,hydrolase activity,25952,3777,,
