query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
query_1,TRUE,4.73222674548812e-47,11193,804,553,0.687810945273632,0.0494058786741714,GO:0008150,GO:BP,biological_process,25952,3550
query_1,TRUE,1.09093147760833e-41,10251,804,512,0.63681592039801,0.0499463466978831,GO:0009987,GO:BP,cellular process,25952,4294
query_1,TRUE,3.14448575244376e-34,1000,804,119,0.148009950248756,0.119,GO:0002376,GO:BP,immune system process,25952,1042
query_1,TRUE,8.78653901337116e-34,4426,804,284,0.353233830845771,0.0641662901039313,GO:0050896,GO:BP,response to stimulus,25952,15476
query_1,TRUE,3.43370645979021e-32,6590,804,364,0.45273631840796,0.0552352048558422,GO:0065007,GO:BP,biological regulation,25952,18687
query_1,TRUE,3.11707123488392e-28,427,804,71,0.0883084577114428,0.166276346604215,GO:0009607,GO:BP,response to biotic stimulus,25952,3999
query_1,TRUE,9.09089886133558e-28,409,804,69,0.0858208955223881,0.168704156479218,GO:0051707,GO:BP,response to other organism,25952,16122
query_1,TRUE,1.06211715153744e-27,410,804,69,0.0858208955223881,0.168292682926829,GO:0043207,GO:BP,response to external biotic stimulus,25952,12249
query_1,TRUE,1.23600727772612e-27,6201,804,338,0.420398009950249,0.0545073375262055,GO:0050789,GO:BP,regulation of biological process,25952,15387
query_1,TRUE,1.70409116749216e-26,494,804,74,0.0920398009950249,0.149797570850202,GO:0006955,GO:BP,immune response,25952,2907
query_1,TRUE,1.82565038342664e-26,998,804,107,0.133084577114428,0.107214428857715,GO:0009605,GO:BP,response to external stimulus,25952,3997
query_1,TRUE,1.88173076822284e-23,5914,804,316,0.393034825870647,0.0534325329726074,GO:0050794,GO:BP,regulation of cellular process,25952,15391
query_1,TRUE,1.9452162637993e-23,494,804,70,0.0870646766169154,0.1417004048583,GO:0006952,GO:BP,defense response,25952,2904
query_1,TRUE,6.38859669541965e-23,262,804,51,0.0634328358208955,0.194656488549618,GO:0098542,GO:BP,defense response to other organism,25952,22106
query_1,TRUE,1.88160781815855e-22,1549,804,130,0.161691542288557,0.0839251129761136,GO:0006950,GO:BP,response to stress,25952,2903
query_1,TRUE,5.99230147221188e-22,3853,804,232,0.288557213930348,0.0602128211783026,GO:0051716,GO:BP,cellular response to stimulus,25952,16130
query_1,TRUE,6.52793285530724e-22,538,804,71,0.0883084577114428,0.131970260223048,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,25952,12841
query_1,TRUE,1.21103296093485e-21,1385,804,120,0.149253731343284,0.0866425992779783,GO:0070887,GO:BP,cellular response to chemical stimulus,25952,19192
query_1,TRUE,2.50953924617259e-21,112,804,34,0.0422885572139304,0.303571428571429,GO:0009615,GO:BP,response to virus,25952,4006
query_1,TRUE,1.05075768822738e-20,256,804,48,0.0597014925373134,0.1875,GO:0002252,GO:BP,immune effector process,25952,920
query_1,TRUE,3.74654357126715e-19,80,804,28,0.0348258706467662,0.35,GO:0051607,GO:BP,defense response to virus,25952,16035
query_1,TRUE,3.74654357126715e-19,80,804,28,0.0348258706467662,0.35,GO:0140546,GO:BP,defense response to symbiont,25952,23224
query_1,TRUE,6.29356294172458e-18,1888,804,137,0.170398009950249,0.0725635593220339,GO:0042221,GO:BP,response to chemical,25952,11670
query_1,TRUE,3.01483002093615e-17,6850,804,331,0.411691542288557,0.0483211678832117,GO:0008152,GO:BP,metabolic process,25952,3551
query_1,TRUE,3.80454517584702e-17,3360,804,199,0.247512437810945,0.0592261904761905,GO:0007154,GO:BP,cell communication,25952,3074
query_1,TRUE,5.66654407516307e-17,6369,804,313,0.389303482587065,0.0491442926676087,GO:0071704,GO:BP,organic substance metabolic process,25952,19767
query_1,TRUE,9.16172417877154e-17,5372,804,276,0.343283582089552,0.0513775130305287,GO:0043170,GO:BP,macromolecule metabolic process,25952,12238
query_1,TRUE,1.08903276873226e-16,2908,804,179,0.222636815920398,0.0615543328748281,GO:0048518,GO:BP,positive regulation of biological process,25952,14903
query_1,TRUE,1.26333472643902e-16,3322,804,196,0.243781094527363,0.0590006020469597,GO:0023052,GO:BP,signaling,25952,7683
query_1,TRUE,1.482886648155e-16,520,804,62,0.0771144278606965,0.119230769230769,GO:0002682,GO:BP,regulation of immune system process,25952,1336
query_1,TRUE,2.10980899999166e-16,1295,804,105,0.130597014925373,0.0810810810810811,GO:0010033,GO:BP,response to organic substance,25952,4328
query_1,TRUE,5.26436800383612e-16,1096,804,94,0.116915422885572,0.0857664233576642,GO:0071310,GO:BP,cellular response to organic substance,25952,19425
query_1,TRUE,6.80114898073521e-16,1752,804,126,0.156716417910448,0.0719178082191781,GO:0048583,GO:BP,regulation of response to stimulus,25952,14958
query_1,TRUE,7.12333739205757e-16,3081,804,184,0.228855721393035,0.0597208698474521,GO:0007165,GO:BP,signal transduction,25952,3085
query_1,TRUE,7.33603335400447e-16,5641,804,283,0.351990049751244,0.0501684098564084,GO:0006807,GO:BP,nitrogen compound metabolic process,25952,2782
query_1,TRUE,2.51270946896732e-15,368,804,50,0.0621890547263682,0.135869565217391,GO:0034097,GO:BP,response to cytokine,25952,9709
