significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
TRUE,"6,42340650374935E-26",11193,486,331,"0,681069958847737","0,029572053962298",GO:0008150,GO:BP,biological_process,25952,3550
TRUE,"2,81906382906433E-18",10251,486,295,"0,606995884773663","0,028777680226319",GO:0009987,GO:BP,cellular process,25952,4294
TRUE,"1,17468110242736E-14",122,486,24,"0,049382716049383","0,19672131147541",GO:0030198,GO:BP,extracellular matrix organization,25952,7773
TRUE,"1,43446947332679E-14",123,486,24,"0,049382716049383","0,195121951219512",GO:0043062,GO:BP,extracellular structure organization,25952,12173
TRUE,"1,98694437662059E-13",2843,486,117,"0,240740740740741","0,041153710868801",GO:0032502,GO:BP,developmental process,25952,8845
TRUE,"3,08582810775546E-13",1304,486,72,"0,148148148148148","0,05521472392638",GO:0009653,GO:BP,anatomical structure morphogenesis,25952,4041
TRUE,"1,45593945333629E-12",3386,486,129,"0,265432098765432","0,038098050797401",GO:0032501,GO:BP,multicellular organismal process,25952,8844
TRUE,"2,59266916655218E-12",2642,486,109,"0,224279835390947","0,041256623769871",GO:0048856,GO:BP,anatomical structure development,25952,15211
TRUE,"1,09900174390951E-11",2364,486,100,"0,205761316872428","0,042301184433164",GO:0007275,GO:BP,multicellular organism development,25952,3186
TRUE,"4,70962153392216E-11",1844,486,84,"0,172839506172839","0,045553145336226",GO:0048869,GO:BP,cellular developmental process,25952,15223
TRUE,"5,52605942165999E-11",2205,486,94,"0,193415637860082","0,042630385487528",GO:0048731,GO:BP,system development,25952,15094
TRUE,"2,6061411994982E-10",640,486,44,"0,090534979423868","0,06875",GO:0007155,GO:BP,cell adhesion,25952,3075
TRUE,"3,23245067280589E-10",644,486,44,"0,090534979423868","0,06832298136646",GO:0022610,GO:BP,biological adhesion,25952,7637
TRUE,"6,87446631539078E-10",1795,486,80,"0,164609053497942","0,044568245125348",GO:0030154,GO:BP,cell differentiation,25952,7751
TRUE,"2,7514302268004E-09",28,486,11,"0,022633744855967","0,392857142857143",GO:0030199,GO:BP,collagen fibril organization,25952,7774
TRUE,"3,98610180008467E-09",1542,486,71,"0,146090534979424","0,046044098573282",GO:0048513,GO:BP,animal organ development,25952,14898
TRUE,"2,97288675688158E-08",916,486,50,"0,102880658436214","0,054585152838428",GO:0009888,GO:BP,tissue development,25952,4229
TRUE,"1,42416021482573E-07",3048,486,107,"0,220164609053498","0,03510498687664",GO:0016043,GO:BP,cellular component organization,25952,5674
TRUE,"2,2386506438803E-07",970,486,50,"0,102880658436214","0,051546391752577",GO:0048468,GO:BP,cell development,25952,14868
TRUE,"3,30643758069149E-07",3133,486,108,"0,222222222222222","0,034471752314076",GO:0071840,GO:BP,cellular component organization or biogenesis,25952,19843
TRUE,"3,67226338986708E-07",6590,486,186,"0,382716049382716","0,028224582701062",GO:0065007,GO:BP,biological regulation,25952,18687
TRUE,"5,66490561682765E-07",6201,486,177,"0,364197530864198","0,028543783260764",GO:0050789,GO:BP,regulation of biological process,25952,15387
TRUE,"1,13084859233308E-06",559,486,35,"0,07201646090535","0,062611806797853",GO:0072359,GO:BP,circulatory system development,25952,20303
TRUE,"1,41191909657075E-06",454,486,31,"0,063786008230453","0,068281938325991",GO:0009790,GO:BP,embryo development,25952,4152
TRUE,"1,41275586615192E-06",991,486,49,"0,10082304526749","0,049445005045409",GO:0006928,GO:BP,movement of cell or subcellular component,25952,2885
TRUE,"4,39966832681957E-06",476,486,31,"0,063786008230453","0,065126050420168",GO:0000902,GO:BP,cell morphogenesis,25952,310
TRUE,"5,12599303582124E-06",425,486,29,"0,059670781893004","0,068235294117647",GO:0031175,GO:BP,neuron projection development,25952,8251
TRUE,"5,91509674812741E-06",5914,486,167,"0,343621399176955","0,028238079134258",GO:0050794,GO:BP,regulation of cellular process,25952,15391
TRUE,"7,5194623679736E-06",3778,486,119,"0,244855967078189","0,031498147167814",GO:1901564,GO:BP,organonitrogen compound metabolic process,25952,24840
TRUE,"9,02243217395516E-06",357,486,26,"0,053497942386831","0,072829131652661",GO:0097435,GO:BP,supramolecular fiber organization,25952,21954
TRUE,"1,16248432383608E-05",496,486,31,"0,063786008230453","0,0625",GO:0048666,GO:BP,neuron development,25952,15030
TRUE,"1,33850950475121E-05",499,486,31,"0,063786008230453","0,062124248496994",GO:0009887,GO:BP,animal organ morphogenesis,25952,4228
TRUE,"1,47809628525242E-05",340,486,25,"0,051440329218107","0,073529411764706",GO:0048598,GO:BP,embryonic morphogenesis,25952,14969
TRUE,"2,21250464731513E-05",3376,486,108,"0,222222222222222","0,031990521327014",GO:0051179,GO:BP,localization,25952,15714
TRUE,"2,24869239076935E-05",297,486,23,"0,047325102880658","0,077441077441077",GO:0001501,GO:BP,skeletal system development,25952,435
TRUE,"2,98928311784013E-05",6850,486,184,"0,378600823045267","0,026861313868613",GO:0008152,GO:BP,metabolic process,25952,3551
TRUE,"3,46491954463998E-05",549,486,32,"0,065843621399177","0,058287795992714",GO:0048646,GO:BP,anatomical structure formation involved in morphogenesis,25952,15010
TRUE,"8,97629686226508E-05",346,486,24,"0,049382716049383","0,069364161849711",GO:0070848,GO:BP,response to growth factor,25952,19173
TRUE,"8,99876623371225E-05",1752,486,66,"0,135802469135802","0,037671232876712",GO:0048583,GO:BP,regulation of response to stimulus,25952,14958
TRUE,"0,000139856290104",1850,486,68,"0,139917695473251","0,036756756756757",GO:0065008,GO:BP,regulation of biological quality,25952,18688
TRUE,"0,00014922435178",4426,486,129,"0,265432098765432","0,029145955716222",GO:0050896,GO:BP,response to stimulus,25952,15476
TRUE,"0,000152981873871",710,486,36,"0,074074074074074","0,050704225352113",GO:0030030,GO:BP,cell projection organization,25952,7711
TRUE,"0,000190059907118",1051,486,46,"0,094650205761317","0,043767840152236",GO:0007399,GO:BP,nervous system development,25952,3296
TRUE,"0,000205998878721",335,486,23,"0,047325102880658","0,06865671641791",GO:0000904,GO:BP,cell morphogenesis involved in differentiation,25952,312
TRUE,"0,00024181820282",338,486,23,"0,047325102880658","0,068047337278107",GO:0071363,GO:BP,cellular response to growth factor stimulus,25952,19476
TRUE,"0,000247267272415",692,486,35,"0,07201646090535","0,050578034682081",GO:0120036,GO:BP,plasma membrane bounded cell projection organization,25952,22876
TRUE,"0,000251407649852",6369,486,170,"0,349794238683128","0,026691788349819",GO:0071704,GO:BP,organic substance metabolic process,25952,19767
TRUE,"0,00025244739573",856,486,40,"0,082304526748971","0,046728971962617",GO:0040011,GO:BP,locomotion,25952,11507
TRUE,"0,000283316672935",341,486,23,"0,047325102880658","0,067448680351906",GO:0032989,GO:BP,cellular component morphogenesis,25952,9216
TRUE,"0,00032143604724",605,486,32,"0,065843621399177","0,052892561983471",GO:2000026,GO:BP,regulation of multicellular organismal development,25952,29262
TRUE,"0,000335413152016",456,486,27,"0,055555555555556","0,05921052631579",GO:0035239,GO:BP,tube morphogenesis,25952,10297
TRUE,"0,000344441420798",576,486,31,"0,063786008230453","0,053819444444444",GO:0035295,GO:BP,tube development,25952,10332
TRUE,"0,000473919637558",679,486,34,"0,069958847736626","0,050073637702504",GO:0007267,GO:BP,cell-cell signaling,25952,3178
TRUE,"0,000508268567533",408,486,25,"0,051440329218107","0,061274509803922",GO:0022603,GO:BP,regulation of anatomical structure morphogenesis,25952,7630
TRUE,"0,000528121917517",201,486,17,"0,034979423868313","0,084577114427861",GO:0001655,GO:BP,urogenital system development,25952,492
TRUE,"0,000554384270148",620,486,32,"0,065843621399177","0,051612903225807",GO:0030182,GO:BP,neuron differentiation,25952,7765
TRUE,"0,000616894072768",384,486,24,"0,049382716049383","0,0625",GO:0001944,GO:BP,vasculature development,25952,684
TRUE,"0,000639035132305",357,486,23,"0,047325102880658","0,064425770308123",GO:0001568,GO:BP,blood vessel development,25952,476
TRUE,"0,000663645479114",689,486,34,"0,069958847736626","0,049346879535559",GO:0048699,GO:BP,generation of neurons,25952,15062
TRUE,"0,000819176134701",761,486,36,"0,074074074074074","0,0473061760841",GO:0022008,GO:BP,neurogenesis,25952,7579
TRUE,"0,000934067087498",284,486,20,"0,041152263374486","0,070422535211268",GO:0007507,GO:BP,heart development,25952,3394
TRUE,"0,000961031033663",971,486,42,"0,08641975308642","0,043254376930999",GO:0006508,GO:BP,proteolysis,25952,2502
TRUE,"0,001008684576469",1561,486,58,"0,119341563786008","0,037155669442665",GO:0010646,GO:BP,regulation of cell communication,25952,4812
TRUE,"0,001013177983271",1151,486,47,"0,096707818930041","0,040834057341442",GO:0050793,GO:BP,regulation of developmental process,25952,15390
TRUE,"0,001055743133145",165,486,15,"0,030864197530864","0,090909090909091",GO:0090287,GO:BP,regulation of cellular response to growth factor stimulus,25952,21412
TRUE,"0,001214101882374",1570,486,58,"0,119341563786008","0,036942675159236",GO:0023051,GO:BP,regulation of signaling,25952,7682
TRUE,"0,001796019334207",172,486,15,"0,030864197530864","0,087209302325581",GO:0001822,GO:BP,kidney development,25952,604
TRUE,"0,001950711662394",756,486,35,"0,07201646090535","0,046296296296296",GO:0048870,GO:BP,cell motility,25952,15224
TRUE,"0,001950711662394",756,486,35,"0,07201646090535","0,046296296296296",GO:0051674,GO:BP,localization of cell,25952,16096
TRUE,"0,002006018833127",221,486,17,"0,034979423868313","0,076923076923077",GO:0060537,GO:BP,muscle tissue development,25952,17373
TRUE,"0,002119196357318",2908,486,90,"0,185185185185185","0,030949105914718",GO:0048518,GO:BP,positive regulation of biological process,25952,14903
TRUE,"0,002303708831785",111,486,12,"0,024691358024691","0,108108108108108",GO:0048738,GO:BP,cardiac muscle tissue development,25952,15101
TRUE,"0,002468745752508",2579,486,82,"0,168724279835391","0,031795269484296",GO:0048519,GO:BP,negative regulation of biological process,25952,14904
TRUE,"0,002704579085796",304,486,20,"0,041152263374486","0,065789473684211",GO:0061061,GO:BP,muscle structure development,25952,17874
TRUE,"0,002771528051608",178,486,15,"0,030864197530864","0,084269662921348",GO:0072001,GO:BP,renal system development,25952,19959
TRUE,"0,002840937214778",509,486,27,"0,055555555555556","0,053045186640472",GO:0007167,GO:BP,enzyme linked receptor protein signaling pathway,25952,3087
TRUE,"0,002991402021101",3853,486,111,"0,228395061728395","0,02880872047755",GO:0051716,GO:BP,cellular response to stimulus,25952,16130
TRUE,"0,003900012588188",207,486,16,"0,032921810699589","0,077294685990338",GO:0014706,GO:BP,striated muscle tissue development,25952,5215
TRUE,"0,003969441840141",160,486,14,"0,02880658436214","0,0875",GO:0010975,GO:BP,regulation of neuron projection development,25952,5114
TRUE,"0,003984009279543",3256,486,97,"0,199588477366255","0,029791154791155",GO:0019538,GO:BP,protein metabolic process,25952,6803
TRUE,"0,004341820498095",1364,486,51,"0,104938271604938","0,037390029325513",GO:0009966,GO:BP,regulation of signal transduction,25952,4287
TRUE,"0,00601039237228",214,486,16,"0,032921810699589","0,074766355140187",GO:0061564,GO:BP,axon development,25952,18331
TRUE,"0,006341388267413",2347,486,75,"0,154320987654321","0,031955688112484",GO:0048523,GO:BP,negative regulation of cellular process,25952,14908
TRUE,"0,006406043923444",695,486,32,"0,065843621399177","0,046043165467626",GO:0016477,GO:BP,cell migration,25952,5846
TRUE,"0,006506651980404",629,486,30,"0,061728395061728","0,047694753577107",GO:0071495,GO:BP,cellular response to endogenous stimulus,25952,19600
TRUE,"0,006784418058251",268,486,18,"0,037037037037037","0,067164179104478",GO:0048812,GO:BP,neuron projection morphogenesis,25952,15168
TRUE,"0,007267866767997",66,486,9,"0,018518518518519","0,136363636363636",GO:0002062,GO:BP,chondrocyte differentiation,25952,784
TRUE,"0,008676984996927",2664,486,82,"0,168724279835391","0,030780780780781",GO:0048522,GO:BP,positive regulation of cellular process,25952,14907
TRUE,"0,009210858110963",1286,486,48,"0,098765432098765","0,037325038880249",GO:0007166,GO:BP,cell surface receptor signaling pathway,25952,3086
TRUE,"0,009484223340915",359,486,21,"0,04320987654321","0,05849582172702",GO:0098609,GO:BP,cell-cell adhesion,25952,22117
TRUE,"0,009606137137779",675,486,31,"0,063786008230453","0,045925925925926",GO:0009719,GO:BP,response to endogenous stimulus,25952,4087
TRUE,"0,009961358807495",1214,486,46,"0,094650205761317","0,037891268533773",GO:0051239,GO:BP,regulation of multicellular organismal process,25952,15763
TRUE,"0,010122063370979",420,486,23,"0,047325102880658","0,054761904761905",GO:0007417,GO:BP,central nervous system development,25952,3311
TRUE,"0,010524114757571",421,486,23,"0,047325102880658","0,054631828978622",GO:0051093,GO:BP,negative regulation of developmental process,25952,15636
TRUE,"0,011292670223432",278,486,18,"0,037037037037037","0,064748201438849",GO:0120039,GO:BP,plasma membrane bounded cell projection morphogenesis,25952,22877
TRUE,"0,011352867524592",925,486,38,"0,078189300411523","0,041081081081081",GO:0003008,GO:BP,system process,25952,1597
TRUE,"0,011374618158886",749,486,33,"0,067901234567901","0,044058744993324",GO:0010647,GO:BP,positive regulation of cell communication,25952,4813
TRUE,"0,01186914133188",5641,486,147,"0,302469135802469","0,026059209360043",GO:0006807,GO:BP,nitrogen compound metabolic process,25952,2782
TRUE,"0,012132388355302",176,486,14,"0,02880658436214","0,079545454545455",GO:0031589,GO:BP,cell-substrate adhesion,25952,8427
TRUE,"0,012289131098882",336,486,20,"0,041152263374486","0,05952380952381",GO:0060322,GO:BP,head development,25952,17167
TRUE,"0,012358377912884",752,486,33,"0,067901234567901","0,043882978723404",GO:0023056,GO:BP,positive regulation of signaling,25952,7687
