ensembl_gene_id	chromosome_name	start_position	end_position	strand
ENSAPLG00000006923	1	869159	916130	1
ENSAPLG00000007418	1	946048	979990	1
ENSAPLG00000009754	1	1009974	1030196	1
ENSAPLG00000006979	1	58078027	58136733	1
ENSAPLG00000013570	5	31592056	31603618	-1
ENSAPLG00000003498	5	2272109	2296569	1
ENSAPLG00000003356	12	7452543	7467141	1
ENSAPLG00000006787	7	33640403	33649792	-1
ENSAPLG00000010867	21	15557852	15565656	-1
ENSAPLG00000013582	5	31625732	31643034	-1
ENSAPLG00000014881	1	145663578	145665759	1
ENSAPLG00000006444	Z	11714084	11788824	-1
ENSAPLG00000001754	3	39991158	40028947	1
ENSAPLG00000018146	19	4007131	4021856	-1
ENSAPLG00000008457	16	12910863	12919049	1
ENSAPLG00000023814	PEDO01019719.1	21	3561	-1
ENSAPLG00000004614	14	11345967	11616036	-1
ENSAPLG00000003193	PEDO01017650.1	40820	50864	-1
ENSAPLG00000015483	9	9470425	9478057	1
ENSAPLG00000001050	7	4218405	4267822	-1
ENSAPLG00000007520	20	9527571	9544495	-1
ENSAPLG00000015252	2	10006901	10064590	-1
ENSAPLG00000003731	1	58718135	58777934	-1
ENSAPLG00000016069	Z	12140530	12154296	-1
ENSAPLG00000013593	3	71187766	71286194	-1
ENSAPLG00000025152	PEDO01019772.1	299	4648	-1
ENSAPLG00000008655	PEDO01007543.1	6834	11878	1
ENSAPLG00000026262	PEDO01005648.1	2084	21250	1
ENSAPLG00000013210	2	105059245	105094865	1
ENSAPLG00000008976	4	18229435	18238836	1
ENSAPLG00000029148	PEDO01005654.1	2629	8390	-1
ENSAPLG00000016306	1	59127239	59131685	1
ENSAPLG00000005684	8	19556739	19697801	-1
ENSAPLG00000008103	5	54217730	54269072	1
ENSAPLG00000003217	9	9741060	9754607	-1
ENSAPLG00000012142	11	9049271	9056905	-1
ENSAPLG00000016114	PEDO01019894.1	8447	36217	-1
ENSAPLG00000013124	1	117780234	117838870	-1
ENSAPLG00000015787	16	13006611	13009613	-1
ENSAPLG00000009829	13	9356419	9360755	-1
ENSAPLG00000015111	4	47737437	47880095	1
ENSAPLG00000010393	13	9411532	9416660	1
ENSAPLG00000013790	2	10828809	10838800	1
ENSAPLG00000011367	11	9072401	9075372	-1
ENSAPLG00000031239	24	3150160	3156466	1
ENSAPLG00000013603	2	10840705	10846223	-1
ENSAPLG00000018198	PEDO01007698.1	21	2272	1
ENSAPLG00000007925	1	34822320	34833532	-1
ENSAPLG00000015473	4	47904153	47933892	1
ENSAPLG00000024884	11	9092596	9093846	1
ENSAPLG00000006172	2	140411963	140439305	-1
ENSAPLG00000014606	26	1738560	1766515	-1
ENSAPLG00000015886	5	55149226	55169282	1
ENSAPLG00000013378	3	12420324	12432786	-1
ENSAPLG00000011983	5	4357391	4360812	-1
ENSAPLG00000025910	Z	44482521	44487412	-1
ENSAPLG00000031131	10	7357696	7393988	-1
ENSAPLG00000002442	14	13059947	13070361	1
ENSAPLG00000013725	10	7429917	7477499	-1
ENSAPLG00000000580	5	55497041	55501681	-1
ENSAPLG00000015805	24	3481629	3485012	1
ENSAPLG00000019041	PEDO01013631.1	321	1667	-1
ENSAPLG00000016381	14	13103520	13106856	-1
ENSAPLG00000027259	12	9200596	9203481	-1
ENSAPLG00000026947	12	9234842	9237870	-1
ENSAPLG00000013923	14	13162827	13336293	1
ENSAPLG00000029719	PEDO01011589.1	286134	299402	-1
ENSAPLG00000016307	19	4208293	4228149	-1
ENSAPLG00000003573	2	74555048	74594588	-1
ENSAPLG00000026395	2	74624689	74648180	-1
ENSAPLG00000027117	28	3892686	3899722	1
ENSAPLG00000022959	PEDO01011608.1	21	5871	-1
ENSAPLG00000009658	26	1874142	1886874	-1
ENSAPLG00000020265	PEDO01020106.1	21	6640	-1
ENSAPLG00000004001	3	12622112	12632845	-1
ENSAPLG00000028531	PEDO01020118.1	112	1024	1
ENSAPLG00000015725	11	9629902	9759662	-1
ENSAPLG00000026352	20	10285477	10311541	1
ENSAPLG00000004476	10	8378565	8391902	-1
ENSAPLG00000012725	2	11985117	12073414	1
ENSAPLG00000008353	12	9271995	9273913	-1
ENSAPLG00000003453	8	21262340	21281855	1
ENSAPLG00000015943	11	9930097	9936732	1
ENSAPLG00000010348	PEDO01020172.1	222	2623	1
ENSAPLG00000017228	PEDO01011863.1	21	1962	-1
ENSAPLG00000017663	PEDO01018145.1	21	1073	1
ENSAPLG00000001621	19	5146424	5150046	-1
ENSAPLG00000002292	6	17874013	17925787	-1
ENSAPLG00000008232	PEDO01020314.1	4478	9902	1
ENSAPLG00000009035	1	183570334	183588035	-1
ENSAPLG00000010740	28	4333478	4347526	1
ENSAPLG00000004194	13	10894017	10895041	1
ENSAPLG00000025864	PEDO01013978.1	1967	12071	-1
ENSAPLG00000008598	24	3896376	3906957	1
ENSAPLG00000006583	1	145852047	145966818	1
ENSAPLG00000023336	PEDO01020342.1	2338	9567	-1
ENSAPLG00000007534	15	11891755	11894195	1
ENSAPLG00000009114	8	21866675	21870569	1
ENSAPLG00000027488	19	5574098	5595834	-1
ENSAPLG00000029718	PEDO01008100.1	11503	14760	1
ENSAPLG00000013396	28	4681205	4691120	1
ENSAPLG00000002281	PEDO01012108.1	7429	12359	-1
ENSAPLG00000025566	PEDO01008118.1	21	3032	1
ENSAPLG00000016213	20	10842287	10867331	-1
ENSAPLG00000015276	22	1807874	1818130	-1
ENSAPLG00000010252	19	6017277	6022283	1
ENSAPLG00000009986	24	3988742	3991845	1
ENSAPLG00000009940	24	4009508	4014850	1
ENSAPLG00000008639	14	13541631	13545569	1
ENSAPLG00000014365	1	35634040	35641476	-1
ENSAPLG00000021722	PEDO01020617.1	21	1039	1
ENSAPLG00000029465	PEDO01012238.1	153395	171950	-1
ENSAPLG00000004755	1	61223005	61267779	1
ENSAPLG00000016313	13	12010725	12013871	-1
ENSAPLG00000005658	8	22352874	22359000	-1
