ensembl_gene_id	chromosome_name	start_position	end_position	strand
ENSAPLG00000009754	1	1009974	1030196	1
ENSAPLG00000006979	1	58078027	58136733	1
ENSAPLG00000006787	7	33640403	33649792	-1
ENSAPLG00000014881	1	145663578	145665759	1
ENSAPLG00000008457	16	12910863	12919049	1
ENSAPLG00000004825	1	58671152	58695541	1
ENSAPLG00000002344	1	85970002	85971111	1
ENSAPLG00000026262	PEDO01005648.1	2084	21250	1
ENSAPLG00000014266	Z	43691030	43695748	1
ENSAPLG00000008657	4	18257781	18267163	1
ENSAPLG00000003957	8	19497847	19540474	1
ENSAPLG00000015787	16	13006611	13009613	-1
ENSAPLG00000015111	4	47737437	47880095	1
ENSAPLG00000010393	13	9411532	9416660	1
ENSAPLG00000011367	11	9072401	9075372	-1
ENSAPLG00000019041	PEDO01013631.1	321	1667	-1
ENSAPLG00000027117	28	3892686	3899722	1
ENSAPLG00000009658	26	1874142	1886874	-1
ENSAPLG00000009307	4	18564216	18608853	-1
ENSAPLG00000029702	PEDO01007992.1	2136	4250	1
ENSAPLG00000017228	PEDO01011863.1	21	1962	-1
ENSAPLG00000018946	6	17782554	17794306	1
ENSAPLG00000015016	PEDO01020253.1	358	2342	1
ENSAPLG00000029718	PEDO01008100.1	11503	14760	1
ENSAPLG00000002281	PEDO01012108.1	7429	12359	-1
ENSAPLG00000015276	22	1807874	1818130	-1
ENSAPLG00000018116	6	19364753	19377800	-1
ENSAPLG00000003848	15	12568473	12572508	-1
ENSAPLG00000014526	27	622232	637666	-1
ENSAPLG00000014412	12	9872122	9911865	-1
ENSAPLG00000022099	PEDO01008263.1	189	1560	1
ENSAPLG00000006851	19	6439773	6445740	-1
ENSAPLG00000020959	21	278993	283251	-1
ENSAPLG00000019496	19	6882869	6892209	1
ENSAPLG00000029440	9	10691300	10696226	1
ENSAPLG00000016046	18	261618	274458	-1
ENSAPLG00000022262	PEDO01009624.1	119266	121939	-1
ENSAPLG00000002561	10	11577699	11582124	1
ENSAPLG00000025168	PEDO01008539.1	21	2169	1
ENSAPLG00000021604	3	111926148	111936933	1
ENSAPLG00000023034	PEDO01008630.1	18078	19647	1
ENSAPLG00000026828	2	42855543	42902875	-1
ENSAPLG00000016019	PEDO01009728.1	21540	26243	1
ENSAPLG00000012663	27	1655222	1664437	-1
ENSAPLG00000025863	PEDO01020868.1	146	2950	1
ENSAPLG00000004875	11	10666368	10682091	1
ENSAPLG00000002434	3	43813641	43834187	1
ENSAPLG00000028532	PEDO01021007.1	3189	4820	-1
ENSAPLG00000011950	4	48825123	48825670	-1
ENSAPLG00000020439	4	48826892	48827824	-1
ENSAPLG00000000830	15	16880958	16881581	-1
ENSAPLG00000006016	3	78251384	78258833	-1
ENSAPLG00000003660	10	13804280	14163951	-1
ENSAPLG00000002438	3	79670719	79677036	-1
ENSAPLG00000015989	4	24451044	24468417	-1
ENSAPLG00000005356	5	60510000	60528090	1
ENSAPLG00000020648	10	15280133	15283081	-1
ENSAPLG00000021388	PEDO01005916.1	378	1467	-1
ENSAPLG00000011195	3	113757559	113803699	1
ENSAPLG00000014958	3	113873403	113903866	-1
ENSAPLG00000006829	PEDO01013183.1	21	4221	1
ENSAPLG00000015729	11	13341806	13354728	1
ENSAPLG00000011856	14	17440000	17482408	1
ENSAPLG00000006948	19	10073296	10092241	-1
ENSAPLG00000000588	7	37407722	37417682	1
ENSAPLG00000027465	PEDO01003666.1	4707	7067	-1
ENSAPLG00000013566	PEDO01014827.1	1862	7722	-1
ENSAPLG00000006762	PEDO01000236.1	440255	484004	1
ENSAPLG00000010291	7	37664735	37675436	-1
ENSAPLG00000031101	7	37675763	37682754	1
ENSAPLG00000010410	7	37685221	37702772	1
ENSAPLG00000003471	19	11828658	11840283	-1
ENSAPLG00000029676	PEDO01000238.1	60100	70642	-1
ENSAPLG00000002904	19	11838929	11879989	-1
ENSAPLG00000018970	18	7793254	7799862	-1
ENSAPLG00000021783	18	7799618	7801650	-1
ENSAPLG00000025655	Z	772767	775413	1
ENSAPLG00000020802	PEDO01015861.1	1092	5509	1
ENSAPLG00000009584	PEDO01000402.1	148	1215	1
ENSAPLG00000016029	19	12345009	12354385	-1
ENSAPLG00000030402	PEDO01000569.1	2669	11863	-1
