ensembl_gene_id	chromosome_name	start_position	end_position	strand
ENSGALG00000006995	9	12832591	12836179	1
ENSGALG00000000504	26	1539943	1544102	-1
ENSGALG00000042030	1	196016274	196022241	1
ENSGALG00000033887	1	61607575	61627406	1
ENSGALG00000017308	1	195927366	195949522	-1
ENSGALG00000004960	10	10623539	10768837	-1
ENSGALG00000051954	7	35095688	35100528	-1
ENSGALG00000045758	14	13729109	13761239	1
ENSGALG00000046156	1	130459374	130477375	-1
ENSGALG00000009700	2	23905072	23914501	-1
ENSGALG00000002285	14	13610665	13618018	1
ENSGALG00000035584	7	618031	671774	-1
ENSGALG00000012357	7	30761616	30764299	-1
ENSGALG00000009641	2	23572966	23610978	1
ENSGALG00000008660	3	15917270	15922608	1
ENSGALG00000012121	5	5568465	5575654	1
ENSGALG00000009479	2	22911382	22916121	-1
ENSGALG00000011013	3	38929612	39078262	1
ENSGALG00000052903	6	20776576	20778514	-1
ENSGALG00000038799	6	20761634	20762959	-1
ENSGALG00000033278	14	13150266	13163527	1
ENSGALG00000009365	2	22493952	22507735	-1
ENSGALG00000038416	6	20291235	20309081	1
ENSGALG00000042079	3	37941890	37973181	1
ENSGALG00000034232	6	20279683	20287917	1
ENSGALG00000050687	6	20274138	20277169	1
ENSGALG00000045085	6	20187816	20191669	1
ENSGALG00000009062	2	21788601	22097425	1
ENSGALG00000006343	6	20062668	20118932	-1
ENSGALG00000028940	5	52393790	52445216	-1
ENSGALG00000012117	7	28404445	28422283	-1
ENSGALG00000026808	6	19964195	19969503	1
ENSGALG00000012112	7	28381630	28385331	-1
ENSGALG00000011646	5	51984130	51996689	1
ENSGALG00000013575	2	89717661	89722211	1
ENSGALG00000048372	6	19360180	19373871	1
ENSGALG00000050564	6	19358682	19386012	1
ENSGALG00000045511	7	28261411	28270003	1
ENSGALG00000012072	7	28237978	28253588	-1
ENSGALG00000006165	6	19271811	19318331	1
ENSGALG00000017135	1	180188436	180238997	1
ENSGALG00000012055	7	28122092	28146591	1
ENSGALG00000009433	6	31229092	31246998	1
ENSGALG00000010812	3	37258840	37528009	-1
ENSGALG00000005985	6	18850965	18862872	-1
ENSGALG00000017128	1	179931545	179940988	1
ENSGALG00000003802	10	5926089	5995672	1
ENSGALG00000011806	7	27920485	27939639	-1
ENSGALG00000043909	6	18666888	18670807	1
ENSGALG00000043234	14	12510348	12511196	1
ENSGALG00000017122	1	178989722	179102539	-1
ENSGALG00000017120	1	178932916	178982063	1
ENSGALG00000011511	5	50513973	50524885	-1
ENSGALG00000004848	21	6397421	6405423	-1
ENSGALG00000003548	14	1552022	1586667	-1
ENSGALG00000007959	1	14959701	14973287	-1
ENSGALG00000005739	6	18321285	18340590	-1
ENSGALG00000043035	1	178373699	178377553	-1
ENSGALG00000002021	23	3918293	3926741	-1
ENSGALG00000017105	1	178030540	178040304	1
ENSGALG00000005021	12	5493932	5506764	-1
ENSGALG00000008050	1	14682620	14697934	1
ENSGALG00000003527	28	4148246	4156109	-1
ENSGALG00000011391	5	50083577	50100328	1
ENSGALG00000008629	2	19573334	19621981	-1
ENSGALG00000016292	3	87199659	87241935	1
ENSGALG00000014862	Z	13647830	13665258	-1
ENSGALG00000040768	2	136421910	136433628	1
ENSGALG00000024486	4	83117730	83129665	-1
ENSGALG00000004974	12	5238244	5289513	1
ENSGALG00000010625	3	33837372	33858132	1
ENSGALG00000000619	28	945364	954006	-1
ENSGALG00000014687	1	78162527	78195976	1
ENSGALG00000014846	Z	13176241	13262529	-1
ENSGALG00000052918	28	877381	880062	1
ENSGALG00000011657	7	26318406	26331755	1
ENSGALG00000038745	2	116753612	116766886	-1
ENSGALG00000008346	7	11436085	11444574	1
ENSGALG00000014659	1	78058485	78065761	-1
ENSGALG00000016348	1	119746943	119749754	-1
ENSGALG00000014603	1	78045961	78055022	1
ENSGALG00000017077	1	176342901	176364943	1
ENSGALG00000011225	5	48749877	48755650	1
ENSGALG00000016271	3	85646064	85661211	-1
ENSGALG00000015433	Z	54811100	54902450	-1
ENSGALG00000000558	28	792585	812847	-1
ENSGALG00000043641	28	4077792	4078763	1
ENSGALG00000052151	28	4050992	4054225	-1
ENSGALG00000040426	1	93005542	93010409	1
ENSGALG00000026736	12	3834014	3844075	1
ENSGALG00000004722	12	3792114	3806886	1
ENSGALG00000010560	3	32108928	32127395	1
ENSGALG00000037625	28	367087	488932	1
ENSGALG00000029000	12	3640843	3643608	-1
ENSGALG00000013723	12	3635427	3637460	-1
ENSGALG00000002623	9	10713989	10733607	-1
ENSGALG00000003594	22	2927488	2974857	-1
ENSGALG00000014477	1	77873930	77885897	1
ENSGALG00000029621	12	3580056	3597490	1
ENSGALG00000030125	1	140577901	140612165	-1
ENSGALG00000033513	28	3997087	4031848	1
ENSGALG00000011573	4	50089708	50124266	1
ENSGALG00000030773	9	24039075	24062914	1
ENSGALG00000004594	13	13851648	13855558	1
ENSGALG00000011551	4	50012279	50018146	-1
ENSGALG00000009639	4	24959132	24997825	-1
ENSGALG00000048091	27	7924157	7931121	1
ENSGALG00000015944	3	82053379	82087597	-1
ENSGALG00000010448	3	31248689	31430389	-1
ENSGALG00000052970	3	81969242	82001392	-1
ENSGALG00000049067	3	81931451	81939826	-1
ENSGALG00000029659	2	66289353	66312310	-1
ENSGALG00000038834	1	11833981	12556826	1
ENSGALG00000010385	3	31054430	31068536	-1
ENSGALG00000027872	4	49898196	49899818	-1
ENSGALG00000000507	11	18738378	18745111	1
ENSGALG00000021079	20	9335909	9349311	1
ENSGALG00000004184	13	13624036	13632278	1
ENSGALG00000006520	14	7970779	8020491	-1
ENSGALG00000010303	3	30966869	30977586	1
ENSGALG00000016844	1	140394688	140425482	-1
ENSGALG00000012456	1	51413962	51423737	1
ENSGALG00000039558	5	21660460	21713198	1
ENSGALG00000039315	33	4126282	4132659	1
ENSGALG00000007435	2	15786146	15799233	-1
ENSGALG00000012801	2	64889269	64914270	-1
ENSGALG00000007526	4	11295349	11299195	-1
ENSGALG00000037332	4	49164561	49178507	1
ENSGALG00000007493	4	11273078	11283634	-1
ENSGALG00000036949	23	2336751	2352001	-1
ENSGALG00000015908	3	80804845	80905035	1
ENSGALG00000003295	Z	10140727	10313424	-1
ENSGALG00000007356	2	15014348	15032488	1
ENSGALG00000012420	1	51166508	51169768	-1
ENSGALG00000015290	Z	51637861	51667970	1
ENSGALG00000030034	27	7903742	7906398	1
ENSGALG00000003473	22	2877954	2888842	-1
ENSGALG00000009560	4	23878783	23885142	1
ENSGALG00000010820	5	45084388	45094601	1
ENSGALG00000010149	3	30280731	30303453	-1
ENSGALG00000002854	Z	9455347	9647483	-1
ENSGALG00000045584	4	10959282	10973769	-1
ENSGALG00000003015	19	5554574	5561459	1
ENSGALG00000035325	Z	9445555	9446532	1
ENSGALG00000004980	6	14211114	14648816	1
ENSGALG00000005609	20	8328212	8337556	1
ENSGALG00000012312	1	51123081	51128130	-1
ENSGALG00000004971	17	5320444	5338453	-1
ENSGALG00000006563	1	8841295	8982974	1
ENSGALG00000000251	27	4040247	4045220	-1
ENSGALG00000002843	19	5487858	5491925	-1
ENSGALG00000017032	1	171829720	171845524	-1
ENSGALG00000011190	4	46423727	46424857	-1
ENSGALG00000020193	4	46421939	46423376	-1
ENSGALG00000014616	11	2122187	2123328	-1
ENSGALG00000015880	3	79469956	79494820	1
ENSGALG00000010747	5	44669751	44711483	-1
ENSGALG00000014971	4	78383025	78453860	1
ENSGALG00000013427	4	61098758	61239973	-1
ENSGALG00000035903	3	78460986	78465358	1
ENSGALG00000026152	12	2699650	2704153	-1
ENSGALG00000041592	33	7007292	7016199	1
ENSGALG00000005886	19	9783481	9807365	1
ENSGALG00000033226	1	7825021	7888297	-1
ENSGALG00000025945	Z	9164659	9166088	1
ENSGALG00000023622	Z	9152592	9154039	1
ENSGALG00000026655	Z	9145291	9146416	-1
ENSGALG00000047037	6	12886667	12889967	1
ENSGALG00000048081	6	12879854	12884046	1
ENSGALG00000011149	7	21828489	21864267	1
ENSGALG00000010078	3	29410438	29492850	-1
ENSGALG00000012705	2	61526463	61561966	1
ENSGALG00000012704	2	61479711	61493929	1
ENSGALG00000003521	10	4617488	4636539	-1
ENSGALG00000008014	20	13708222	13709555	-1
ENSGALG00000034860	9	21107790	21154158	1
ENSGALG00000007082	2	13012790	13044927	-1
ENSGALG00000037050	23	703621	707046	-1
ENSGALG00000002138	12	1840425	1843438	-1
ENSGALG00000013191	2	85983022	85987033	1
ENSGALG00000012696	2	60523859	60531947	-1
ENSGALG00000016224	1	112604059	112660963	-1
ENSGALG00000053561	20	6854547	6861267	-1
ENSGALG00000015846	3	77640791	77711585	1
ENSGALG00000047464	10	4481781	4486512	-1
ENSGALG00000003857	13	12132157	12149954	-1
ENSGALG00000052624	13	12127186	12127326	-1
ENSGALG00000045232	20	6834330	6844857	-1
ENSGALG00000048409	25	1948755	1958413	1
ENSGALG00000052571	13	12122336	12126363	-1
ENSGALG00000055058	1	6730670	6745495	1
ENSGALG00000003818	13	12072751	12112751	-1
ENSGALG00000007381	5	17253818	17261848	-1
ENSGALG00000004859	20	6715285	6727531	-1
ENSGALG00000006939	2	11439678	11481488	1
ENSGALG00000021230	20	6698519	6707788	1
ENSGALG00000016834	1	138951176	139094938	-1
ENSGALG00000032577	9	20136600	20436791	1
ENSGALG00000002388	19	5001205	5016500	1
ENSGALG00000040180	2	107911432	107912427	-1
ENSGALG00000006723	2	10454430	10459537	-1
ENSGALG00000039989	9	20022139	20024015	-1
ENSGALG00000040003	17	2804710	2819836	1
ENSGALG00000023872	17	2779784	2798309	-1
ENSGALG00000026677	1	138924431	138937050	-1
ENSGALG00000036850	10	4188720	4194426	-1
ENSGALG00000041988	1	111210237	111222987	-1
ENSGALG00000015209	Z	44356123	44369961	-1
ENSGALG00000004106	5	1895074	1901741	1
ENSGALG00000027920	13	11149867	11150817	-1
ENSGALG00000002225	19	4627665	4651317	1
ENSGALG00000026005	5	40752235	40769122	-1
ENSGALG00000028005	Z	43742056	43743702	1
ENSGALG00000010864	4	44723699	44731614	1
ENSGALG00000001824	11	1164536	1167744	1
ENSGALG00000004285	20	5418333	5446344	-1
ENSGALG00000039269	18	9489328	9537525	-1
ENSGALG00000028145	3	75832004	75833128	1
ENSGALG00000015780	3	75829783	75832053	-1
ENSGALG00000009179	9	19447018	19455676	1
ENSGALG00000035223	1	49418419	49420291	1
ENSGALG00000036754	5	16353075	16372300	-1
ENSGALG00000009170	9	19410811	19426299	1
ENSGALG00000009042	3	12825298	12864186	-1
ENSGALG00000037156	2	56105317	56110599	-1
ENSGALG00000015778	3	75770652	75790286	1
ENSGALG00000007848	24	6135796	6138663	-1
ENSGALG00000054926	11	1066886	1069128	-1
ENSGALG00000049254	11	1062451	1063994	-1
ENSGALG00000006190	4	4200870	4231430	1
ENSGALG00000053446	11	1056792	1059251	-1
ENSGALG00000052887	11	1052951	1055440	-1
ENSGALG00000036829	2	55980846	56043283	1
ENSGALG00000042538	18	9298043	9330926	-1
ENSGALG00000049652	11	1049413	1051612	-1
ENSGALG00000021451	11	1044286	1046844	-1
ENSGALG00000054619	1	193942684	194025658	1
ENSGALG00000013911	1	71375201	71400743	-1
ENSGALG00000030661	33	6934615	6940207	1
ENSGALG00000003932	20	5127284	5143926	1
ENSGALG00000010719	4	42233732	42250523	-1
ENSGALG00000011838	1	48945372	48990389	-1
ENSGALG00000016144	1	110262821	110276844	-1
ENSGALG00000014297	5	16053125	16056590	1
ENSGALG00000039335	5	16016176	16051789	1
ENSGALG00000016502	3	104195023	104200149	-1
ENSGALG00000031807	26	5096691	5103540	-1
ENSGALG00000003519	26	5083108	5085044	-1
ENSGALG00000011803	1	48327303	48341580	1
ENSGALG00000015122	2	104150943	104221821	1
ENSGALG00000005845	11	17954812	17987235	-1
ENSGALG00000003267	27	7716059	7727343	-1
ENSGALG00000033966	1	193461898	193803700	1
ENSGALG00000018557	4	73665483	73667513	-1
ENSGALG00000002708	10	3212741	3290778	1
ENSGALG00000023760	26	5081076	5100133	-1
ENSGALG00000043036	5	39074525	39084657	1
ENSGALG00000002452	Z	7195127	7209340	-1
ENSGALG00000014569	5	15965565	15987045	-1
ENSGALG00000032978	1	1849044	1852908	-1
ENSGALG00000011794	1	48200510	48209397	1
ENSGALG00000031929	9	17771710	17887810	-1
ENSGALG00000008444	1	1833150	1840448	1
ENSGALG00000016986	1	169350498	169399736	-1
ENSGALG00000014233	1	70452867	70534884	1
ENSGALG00000003485	26	5030630	5043220	-1
ENSGALG00000044226	30	600218	605036	1
ENSGALG00000006017	4	3316455	3386100	1
ENSGALG00000003345	27	7678129	7689239	-1
ENSGALG00000010668	4	39881333	39966929	-1
ENSGALG00000048876	13	17778126	17781262	1
ENSGALG00000037791	12	15745789	15810437	-1
ENSGALG00000019690	2	6292140	6311275	-1
ENSGALG00000015056	2	103119354	103231680	1
ENSGALG00000010120	8	21098307	21114361	-1
ENSGALG00000008162	1	1655960	1680468	-1
ENSGALG00000041380	16	2606528	2609057	-1
ENSGALG00000012610	Z	41419265	41425489	1
ENSGALG00000015030	2	103049116	103074569	-1
ENSGALG00000045115	30	595215	599886	1
ENSGALG00000011740	1	48028649	48034022	1
ENSGALG00000000318	26	776660	782042	1
ENSGALG00000009269	5	26296854	26311104	-1
ENSGALG00000011738	1	47987082	47995411	1
ENSGALG00000000158	16	2584405	2586614	1
ENSGALG00000001470	10	3071342	3074466	1
ENSGALG00000005957	4	3042069	3056203	1
ENSGALG00000005779	11	17771651	17789514	-1
ENSGALG00000008475	17	2324755	2351466	1
ENSGALG00000010858	7	18736749	18812213	1
ENSGALG00000004370	18	7978389	8014156	1
ENSGALG00000053716	7	18703849	18709224	-1
ENSGALG00000007996	7	10057110	10167732	-1
ENSGALG00000007418	24	5487325	5489870	-1
ENSGALG00000030571	1	168025737	168042111	-1
ENSGALG00000016964	1	167989491	168020290	-1
ENSGALG00000002878	13	9873168	9892226	1
ENSGALG00000006350	15	8408011	8410445	1
ENSGALG00000026970	5	1814210	1815550	1
ENSGALG00000002466	21	3244323	3253164	-1
ENSGALG00000014976	2	102638198	102654114	1
ENSGALG00000005204	15	8386812	8392109	1
ENSGALG00000016955	1	167303114	167502950	-1
ENSGALG00000020210	4	39471077	39483120	1
ENSGALG00000051765	2	130623803	130629152	1
ENSGALG00000014178	1	68564109	68765156	-1
ENSGALG00000046885	1	1300935	1301690	-1
ENSGALG00000020679	6	28482182	28494460	1
ENSGALG00000053220	2	130588631	130595013	1
ENSGALG00000003369	27	7646435	7652243	-1
ENSGALG00000029610	18	7720345	7747429	-1
ENSGALG00000049010	15	8238927	8239208	1
ENSGALG00000052566	15	8235870	8236154	-1
ENSGALG00000047506	15	8235121	8235417	1
ENSGALG00000003701	6	10373860	10450843	1
ENSGALG00000033932	16	2565405	2595262	1
ENSGALG00000048383	15	8232496	8232780	1
ENSGALG00000049186	15	8231361	8231642	-1
ENSGALG00000053057	15	8230684	8230971	-1
ENSGALG00000048390	15	8229080	8229361	1
ENSGALG00000054874	15	8227756	8228052	-1
ENSGALG00000041717	4	69534263	69590715	-1
ENSGALG00000050376	15	8226765	8227052	1
ENSGALG00000050545	15	8226219	8226506	-1
ENSGALG00000051167	15	8223554	8223835	1
ENSGALG00000050477	15	8221239	8221500	1
ENSGALG00000001183	18	1725828	1819262	-1
ENSGALG00000009690	3	21085200	21149788	-1
ENSGALG00000011902	24	5236175	5239380	1
ENSGALG00000014910	2	102015734	102109014	1
ENSGALG00000046843	24	5233708	5235272	1
ENSGALG00000023821	27	7642263	7646075	-1
ENSGALG00000033630	2	129872670	129924271	-1
ENSGALG00000024122	14	5052186	5055318	-1
ENSGALG00000015345	3	68161619	68200435	-1
ENSGALG00000047141	3	68134987	68147931	-1
ENSGALG00000026396	16	2549855	2554710	-1
ENSGALG00000010156	Z	25744347	25805121	1
ENSGALG00000001445	13	8593917	8632025	-1
ENSGALG00000027232	13	8559183	8566692	1
ENSGALG00000008497	1	31106674	31121733	-1
ENSGALG00000032173	8	4701721	4719776	1
ENSGALG00000016485	3	101681364	101683698	1
ENSGALG00000006583	5	14250735	14289860	-1
ENSGALG00000003053	8	4695523	4702534	-1
ENSGALG00000001662	13	8418800	8471899	1
ENSGALG00000051567	17	1952502	1953399	-1
ENSGALG00000035282	5	13971786	13980128	1
ENSGALG00000015297	3	67292563	67374494	-1
ENSGALG00000016723	3	110067035	110073729	1
ENSGALG00000038540	24	4498522	4569876	-1
ENSGALG00000036783	8	4645426	4658534	1
ENSGALG00000002038	26	3872602	3887081	-1
ENSGALG00000033709	1	45725939	45740752	-1
ENSGALG00000035502	33	6859136	6861250	1
ENSGALG00000033677	20	1530286	1555018	1
ENSGALG00000007543	20	11158900	11172710	1
ENSGALG00000005710	2	4568785	4637109	1
ENSGALG00000032687	5	13345327	13346837	1
ENSGALG00000011409	1	45696332	45697655	1
ENSGALG00000011400	1	45585772	45597222	-1
ENSGALG00000013803	3	52959497	53067360	-1
ENSGALG00000049505	32	424250	436902	-1
ENSGALG00000054320	32	419172	420425	-1
ENSGALG00000046794	16	2397112	2437757	1
ENSGALG00000008873	17	1807509	1811764	1
ENSGALG00000049448	16	2302998	2422327	1
ENSGALG00000006427	5	13266596	13301342	1
ENSGALG00000050131	16	2296187	2298233	1
ENSGALG00000015179	Z	37947914	37969665	1
ENSGALG00000011325	1	45339203	45346941	-1
ENSGALG00000016920	1	156241817	156370149	-1
ENSGALG00000014236	4	68148034	68237929	1
ENSGALG00000031593	4	1985097	1986199	1
ENSGALG00000027864	5	36403465	36406967	-1
ENSGALG00000049461	16	2283023	2395890	1
ENSGALG00000041621	2	148338397	148344678	-1
ENSGALG00000012080	2	46175212	46178881	-1
ENSGALG00000010371	4	35094094	35205619	-1
ENSGALG00000039869	4	35039467	35039990	-1
ENSGALG00000005135	9	8473943	8497084	-1
ENSGALG00000042001	4	35025993	35044154	1
ENSGALG00000007431	12	14398620	14690794	-1
ENSGALG00000009601	1	30463434	30606675	-1
ENSGALG00000037629	2	45896594	45935972	-1
ENSGALG00000006567	24	3169790	3221633	-1
ENSGALG00000015022	3	65946996	66021357	1
ENSGALG00000025764	27	7499025	7504478	1
ENSGALG00000011271	1	44018283	44031180	-1
ENSGALG00000041834	22	5268107	5279496	-1
ENSGALG00000007701	9	15424639	15428284	1
ENSGALG00000006236	5	12656760	12667360	-1
ENSGALG00000005043	15	6963505	6970903	1
ENSGALG00000052732	16	2095761	2115687	-1
ENSGALG00000048882	15	6960793	6961355	1
ENSGALG00000030996	15	6953787	6954986	1
ENSGALG00000049444	16	2069172	2071163	1
ENSGALG00000015844	1	105995337	106000048	1
ENSGALG00000052829	17	918451	928380	-1
ENSGALG00000022875	2	98074041	98078558	-1
ENSGALG00000052686	16	2043313	2045183	-1
ENSGALG00000014127	4	66556118	66563523	1
ENSGALG00000050324	4	66546130	66552689	1
ENSGALG00000031408	10	1522444	1539392	-1
ENSGALG00000003144	18	6279757	6287152	-1
ENSGALG00000015148	Z	36034182	36052126	1
ENSGALG00000041510	10	1504415	1521465	1
ENSGALG00000036511	10	1492675	1499114	-1
ENSGALG00000009286	7	16638236	16652554	1
ENSGALG00000017414	27	7477796	7493324	-1
ENSGALG00000032170	17	869297	871747	-1
ENSGALG00000010268	4	34607222	34615681	-1
ENSGALG00000043064	17	865358	868425	-1
ENSGALG00000032143	11	16909051	16934252	1
ENSGALG00000039164	10	1382052	1406178	1
ENSGALG00000010214	4	34551821	34593192	1
ENSGALG00000045747	28	3320525	3324408	-1
ENSGALG00000032398	8	2987284	3025151	1
ENSGALG00000050329	16	2031899	2037166	-1
ENSGALG00000007447	20	10887341	10892358	-1
ENSGALG00000039146	2	44348127	44354228	1
ENSGALG00000048063	16	2019863	2057283	-1
ENSGALG00000047380	16	2001694	2114403	1
ENSGALG00000005331	2	2396097	2402774	-1
ENSGALG00000048178	25	3397146	3409077	1
ENSGALG00000001231	20	630016	655765	-1
ENSGALG00000030016	3	107370910	107378810	-1
ENSGALG00000054783	2	141967432	142007621	-1
ENSGALG00000016665	3	107359160	107370240	1
ENSGALG00000034500	2	97261548	97270754	-1
ENSGALG00000017644	11	16818088	16836168	-1
ENSGALG00000051088	16	1967655	1973720	-1
ENSGALG00000049208	16	1962072	2057699	-1
ENSGALG00000013205	1	66453732	66480164	-1
ENSGALG00000027983	9	15106136	15126619	1
ENSGALG00000028567	20	485851	492652	-1
ENSGALG00000046614	25	3323931	3324985	-1
ENSGALG00000047448	8	25627286	25634615	1
ENSGALG00000002080	13	4712213	4872139	-1
ENSGALG00000007651	7	7912708	7932691	-1
ENSGALG00000024272	25	3296971	3298411	-1
ENSGALG00000040342	1	104340407	104345964	-1
ENSGALG00000013948	4	65944536	65948246	-1
ENSGALG00000000584	26	380663	408134	1
ENSGALG00000008741	3	11998079	12006782	-1
ENSGALG00000005287	2	2080866	2086418	1
ENSGALG00000030969	2	43035072	43041839	-1
ENSGALG00000032087	2	96558292	96559269	-1
ENSGALG00000048749	16	1949851	1956061	-1
ENSGALG00000037601	30	286191	290414	-1
ENSGALG00000028505	25	278428	282487	1
ENSGALG00000040896	18	4912089	4948124	1
ENSGALG00000000452	22	1415487	1422100	1
ENSGALG00000047025	16	1927171	1938255	-1
ENSGALG00000042505	2	94652557	94656207	1
ENSGALG00000017235	1	189025780	189161699	1
ENSGALG00000005503	11	16725796	16738294	1
ENSGALG00000010721	8	25257022	25429515	-1
ENSGALG00000052371	16	1926484	1964781	-1
ENSGALG00000053682	16	1913575	1929106	-1
ENSGALG00000017462	13	17291960	17350348	-1
ENSGALG00000021475	25	2955362	2966558	-1
ENSGALG00000010681	8	24984865	24991884	1
ENSGALG00000000616	26	323882	327166	1
ENSGALG00000035949	2	42247131	42275377	-1
ENSGALG00000026948	22	4084885	4104541	1
ENSGALG00000036892	5	824101	848390	1
ENSGALG00000015346	1	86521572	86537922	1
ENSGALG00000002183	Z	71400261	71505016	-1
ENSGALG00000015081	Z	33744116	33762006	1
ENSGALG00000015519	1	98288159	98697579	-1
ENSGALG00000036915	2	138683095	138697225	1
ENSGALG00000015090	Z	33602917	33617017	-1
ENSGALG00000010647	8	24881132	24886539	-1
ENSGALG00000008738	7	13680574	13686738	1
ENSGALG00000047152	1	197279998	197281946	-1
ENSGALG00000002553	13	2788001	2834253	1
ENSGALG00000041255	6	33533589	33704427	-1
ENSGALG00000013098	1	63277443	63284355	1
ENSGALG00000005438	5	8179591	8207462	-1
ENSGALG00000052434	31	2741115	2742551	1
ENSGALG00000042771	1	96501042	96681455	1
ENSGALG00000004058	14	2703952	2736640	1
ENSGALG00000027982	1	197145495	197154933	-1
ENSGALG00000013091	1	62935249	63064741	-1
ENSGALG00000041634	22	3827641	3830849	1
ENSGALG00000008621	7	12666450	12744588	-1
ENSGALG00000041202	2	138061819	138086470	-1
ENSGALG00000009693	6	32715646	32724206	-1
ENSGALG00000005426	Z	31717415	31775790	-1
ENSGALG00000040418	1	196969914	196986048	1
ENSGALG00000008589	7	12555296	12570730	1
ENSGALG00000014537	5	29608119	29626791	1
ENSGALG00000034967	1	196720426	196844343	1
ENSGALG00000013655	4	63178948	63206134	-1
ENSGALG00000010152	1	36249788	36266933	-1
ENSGALG00000013057	1	62069663	62083647	1
ENSGALG00000009606	6	32367978	32382286	1
ENSGALG00000029540	6	3319882	3332603	-1
ENSGALG00000002012	6	3313775	3317807	-1
ENSGALG00000011695	5	7164776	7254371	-1
ENSGALG00000000557	26	1717215	1724197	-1
ENSGALG00000034069	33	7312520	7316977	-1
ENSGALG00000011488	2	40345059	40372785	1
ENSGALG00000000551	26	1618156	1637334	1
ENSGALG00000012350	Z	71017085	71057636	-1
ENSGALG00000003781	14	2550586	2578126	1
ENSGALG00000037522	28	3038438	3080297	-1
ENSGALG00000013624	2	90145304	90201328	1
ENSGALG00000041898	9	12971183	12972271	-1
ENSGALG00000041449	5	24740037	24756678	-1
ENSGALG00000012032	5	5842994	5851053	1
ENSGALG00000003742	28	4313215	4353604	1
ENSGALG00000037671	1	56805534	56829441	1
ENSGALG00000023379	Z	23491652	23495738	1
ENSGALG00000035996	2	128186637	128192313	-1
ENSGALG00000043690	1	136717949	136721234	1
ENSGALG00000007358	10	18233025	18241830	-1
ENSGALG00000012847	1	56636822	56652446	-1
ENSGALG00000002022	Z	70837600	70855202	-1
ENSGALG00000016456	3	97402679	97470693	1
ENSGALG00000008970	4	17200089	17295351	1
ENSGALG00000027777	28	3014287	3018726	-1
ENSGALG00000026258	11	14531508	14691257	-1
ENSGALG00000051101	23	5959344	6092916	-1
ENSGALG00000037223	9	5485166	5487957	1
ENSGALG00000005439	19	8593460	8693146	-1
ENSGALG00000042148	26	76711	94225	-1
ENSGALG00000034395	11	13961809	13964827	1
ENSGALG00000006835	20	10510927	10512737	-1
ENSGALG00000039216	7	6782467	6808501	1
ENSGALG00000040666	1	56329183	56352026	1
ENSGALG00000031164	20	10480912	10485242	1
ENSGALG00000009032	8	19953424	19965159	-1
ENSGALG00000009448	1	27057994	27068635	-1
ENSGALG00000040832	28	2928051	2932763	1
ENSGALG00000008930	3	9676896	9693979	1
ENSGALG00000008620	4	16501944	16504398	1
ENSGALG00000039985	11	12119543	12198657	1
ENSGALG00000046187	1	55733220	55749482	1
ENSGALG00000054799	1	55701731	55729543	-1
ENSGALG00000038688	10	17545577	17715273	-1
ENSGALG00000015253	1	85383662	85470351	-1
ENSGALG00000017205	1	186760966	186767598	-1
ENSGALG00000017204	1	186709569	186747771	1
ENSGALG00000005809	9	5151187	5166192	1
ENSGALG00000012761	1	55492486	55507806	-1
ENSGALG00000005823	9	5116399	5150308	-1
ENSGALG00000012345	3	47909859	48062234	1
ENSGALG00000039354	8	18989399	19032035	1
ENSGALG00000015721	Z	66748440	66871680	-1
ENSGALG00000007016	10	17067179	17103197	-1
ENSGALG00000032506	2	125926904	125935308	-1
ENSGALG00000009007	3	9144569	9148345	1
ENSGALG00000001273	28	2730221	2731462	-1
