ensembl_gene_id	chromosome_name	start_position	end_position	strand
ENSGALG00000036738	1	93596025	93648691	1
ENSGALG00000001892	18	4342538	4349605	1
ENSGALG00000027247	2	38541856	38546582	-1
ENSGALG00000006995	9	12832591	12836179	1
ENSGALG00000000504	26	1539943	1544102	-1
ENSGALG00000009519	5	29074720	29091937	1
ENSGALG00000006976	9	12801542	12825362	1
ENSGALG00000035842	24	243549	252197	-1
ENSGALG00000033271	33	7260322	7265353	-1
ENSGALG00000045021	2	431018	442278	-1
ENSGALG00000052653	13	1335704	1434738	-1
ENSGALG00000006002	10	11535844	11547540	1
ENSGALG00000044935	2	417866	419527	1
ENSGALG00000048077	10	10840541	10846830	-1
ENSGALG00000005011	10	10820876	10835698	-1
ENSGALG00000012481	7	35127799	35141587	1
ENSGALG00000051954	7	35095688	35100528	-1
ENSGALG00000007045	6	22597002	22847758	-1
ENSGALG00000012444	7	34497511	34552031	1
ENSGALG00000009942	1	35415393	35427159	1
ENSGALG00000016724	1	131416725	131429820	-1
ENSGALG00000016693	1	130482654	130498132	-1
ENSGALG00000009700	2	23905072	23914501	-1
ENSGALG00000030008	6	21666750	21671233	-1
ENSGALG00000026600	3	40608347	40628562	-1
ENSGALG00000035584	7	618031	671774	-1
ENSGALG00000012357	7	30761616	30764299	-1
ENSGALG00000009641	2	23572966	23610978	1
ENSGALG00000006639	6	21375204	21388540	-1
ENSGALG00000011314	2	38121822	38167107	1
ENSGALG00000016017	4	88865896	88993479	-1
ENSGALG00000054948	3	104690243	104715074	-1
ENSGALG00000037506	3	39259121	39362915	1
ENSGALG00000009479	2	22911382	22916121	-1
ENSGALG00000032247	1	81030190	81054213	-1
ENSGALG00000011003	3	38567265	38616829	-1
ENSGALG00000043307	7	187764	224770	1
ENSGALG00000042853	3	38176341	38193355	-1
ENSGALG00000027853	4	87427085	87823826	-1
ENSGALG00000014970	1	80650200	80694243	1
ENSGALG00000016590	1	124490191	124497611	1
ENSGALG00000012156	7	29190336	29372124	-1
ENSGALG00000045085	6	20187816	20191669	1
ENSGALG00000016579	1	124344548	124352711	-1
ENSGALG00000006351	6	20087175	20099497	1
ENSGALG00000031343	21	6611137	6620377	1
ENSGALG00000016575	1	124201020	124307978	1
ENSGALG00000012117	7	28404445	28422283	-1
ENSGALG00000016569	1	123713870	123728313	1
ENSGALG00000013575	2	89717661	89722211	1
ENSGALG00000014812	1	80053840	80093005	-1
ENSGALG00000008257	3	3201470	3222450	1
ENSGALG00000006174	6	19392946	19425288	-1
ENSGALG00000045511	7	28261411	28270003	1
ENSGALG00000012075	7	28256073	28261454	-1
ENSGALG00000049308	5	51719243	51729815	1
ENSGALG00000012072	7	28237978	28253588	-1
ENSGALG00000003883	10	6184394	6221492	1
ENSGALG00000026422	7	28217915	28235171	-1
ENSGALG00000006137	6	19118047	19156066	-1
ENSGALG00000008233	3	3107742	3127503	1
ENSGALG00000011608	5	51691469	51709667	1
ENSGALG00000012061	7	28185901	28203831	1
ENSGALG00000050058	4	85498153	85557858	-1
ENSGALG00000015205	Z	30823102	30833822	-1
ENSGALG00000005309	12	7348689	7371332	-1
ENSGALG00000025915	Z	59536399	59549088	1
ENSGALG00000008195	3	3072614	3092030	-1
ENSGALG00000009433	6	31229092	31246998	1
ENSGALG00000011572	5	50822509	50872096	1
ENSGALG00000041344	2	121272547	121278022	1
ENSGALG00000017126	1	179883997	179922552	1
ENSGALG00000005969	6	18741815	18788695	-1
ENSGALG00000025886	12	7057412	7082243	-1
ENSGALG00000025748	1	179686487	179717720	-1
ENSGALG00000033083	4	85314167	85334055	1
ENSGALG00000043234	14	12510348	12511196	1
ENSGALG00000017122	1	178989722	179102539	-1
ENSGALG00000016324	3	88374105	88384918	1
ENSGALG00000035031	2	120664931	120667575	-1
ENSGALG00000008747	2	20336331	20435530	1
ENSGALG00000016538	1	122146582	122148228	-1
ENSGALG00000007905	1	15009296	15165846	-1
ENSGALG00000031062	5	50598446	50603397	-1
ENSGALG00000011511	5	50513973	50524885	-1
ENSGALG00000016431	Z	82009343	82120633	1
ENSGALG00000005123	12	6435529	6467522	-1
ENSGALG00000015712	4	83930355	83937106	1
ENSGALG00000035845	2	118111383	118189824	-1
ENSGALG00000043035	1	178373699	178377553	-1
ENSGALG00000032701	2	118035819	118043555	1
ENSGALG00000030673	5	50224769	50242138	1
ENSGALG00000034081	3	35071502	35216609	1
ENSGALG00000010705	3	34997069	35002178	-1
ENSGALG00000044299	12	5600969	5622221	1
ENSGALG00000021569	21	6079357	6081398	-1
